statecode,countycode_2022,town_fips_2022,town_name,town_fips_2020,countycode_2020
b'09',b'110',b'0911045820',b'Marlborough',b'0900345820',b'003'
b'09',b'110',b'0911002060',b'Avon',b'0900302060',b'003'
b'09',b'110',b'0911004300',b'Berlin',b'0900304300',b'003'
b'09',b'110',b'0911005910',b'Bloomfield',b'0900305910',b'003'
b'09',b'110',b'0911022070',b'East Granby',b'0900322070',b'003'
b'09',b'110',b'0911022630',b'East Hartford',b'0900322630',b'003'
b'09',b'110',b'0911025990',b'Enfield',b'0900325990',b'003'
b'09',b'110',b'0911027600',b'Farmington',b'0900327600',b'003'
b'09',b'110',b'0911031240',b'Glastonbury',b'0900331240',b'003'
b'09',b'110',b'0911037070',b'Hartford',b'0900337070',b'003'
b'09',b'110',b'0911044700',b'Manchester',b'0900344700',b'003'
b'09',b'110',b'0911050440',b'New Britain',b'0900350440',b'003'
b'09',b'110',b'0911052140',b'Newington',b'0900352140',b'003'
b'09',b'110',b'0911060120',b'Plainville',b'0900360120',b'003'
b'09',b'110',b'0911068940',b'Simsbury',b'0900368940',b'003'
b'09',b'110',b'0911070550',b'Southington',b'0900370550',b'003'
b'09',b'110',b'0911071390',b'South Windsor',b'0900371390',b'003'
b'09',b'110',b'0911082590',b'West Hartford',b'0900382590',b'003'
b'09',b'110',b'0911084900',b'Wethersfield',b'0900384900',b'003'
b'09',b'110',b'0911087000',b'Windsor',b'0900387000',b'003'
b'09',b'110',b'0911087070',b'Windsor Locks',b'0900387070',b'003'
b'09',b'110',b'0911012270',b'Canton',b'0900312270',b'003'
b'09',b'110',b'0911024800',b'East Windsor',b'0900324800',b'003'
b'09',b'110',b'0911065370',b'Rocky Hill',b'0900365370',b'003'
b'09',b'110',b'0911074540',b'Suffield',b'0900374540',b'003'
b'09',b'110',b'0911001080',b'Andover',b'0901301080',b'013'
b'09',b'110',b'0911016400',b'Columbia',b'0901316400',b'013'
b'09',b'110',b'0911017800',b'Coventry',b'0901317800',b'013'
b'09',b'110',b'0911044910',b'Mansfield',b'0901344910',b'013'
b'09',b'110',b'0911032640',b'Granby',b'0900332640',b'003'
b'09',b'110',b'0911006260',b'Bolton',b'0901306260',b'013'
b'09',b'110',b'0911025360',b'Ellington',b'0901325360',b'013'
b'09',b'110',b'0911037910',b'Hebron',b'0901337910',b'013'
b'09',b'110',b'0911069220',b'Somers',b'0901369220',b'013'
b'09',b'110',b'0911072090',b'Stafford',b'0901372090',b'013'
b'09',b'110',b'0911076290',b'Tolland',b'0901376290',b'013'
b'09',b'110',b'0911078250',b'Vernon',b'0901378250',b'013'
b'09',b'110',b'0911085950',b'Willington',b'0901385950',b'013'
b'09',b'120',b'0912008070',b'Bridgeport',b'0900108070',b'001'
b'09',b'120',b'0912023890',b'Easton',b'0900123890',b'001'
b'09',b'120',b'0912026620',b'Fairfield',b'0900126620',b'001'
b'09',b'120',b'0912048620',b'Monroe',b'0900148620',b'001'
b'09',b'120',b'0912074190',b'Stratford',b'0900174190',b'001'
b'09',b'120',b'0912077200',b'Trumbull',b'0900177200',b'001'
b'09',b'130',b'0913057040',b'Old Lyme',b'0901157040',b'011'
b'09',b'130',b'0913014300',b'Chester',b'0900714300',b'007'
b'09',b'130',b'0913018080',b'Cromwell',b'0900718080',b'007'
b'09',b'130',b'0913020810',b'Durham',b'0900720810',b'007'
b'09',b'130',b'0913081680',b'Westbrook',b'0900781680',b'007'
b'09',b'130',b'0913019130',b'Deep River',b'0900719130',b'007'
b'09',b'130',b'0913022280',b'East Haddam',b'0900722280',b'007'
b'09',b'130',b'0913022490',b'East Hampton',b'0900722490',b'007'
b'09',b'130',b'0913044210',b'Lyme',b'0901144210',b'011'
b'09',b'130',b'0913026270',b'Essex',b'0900726270',b'007'
b'09',b'130',b'0913035230',b'Haddam',b'0900735230',b'007'
b'09',b'130',b'0913040710',b'Killingworth',b'0900740710',b'007'
b'09',b'130',b'0913047080',b'Middlefield',b'0900747080',b'007'
b'09',b'130',b'0913057320',b'Old Saybrook',b'0900757320',b'007'
b'09',b'130',b'0913061800',b'Portland',b'0900761800',b'007'
b'09',b'130',b'0913047360',b'Middletown',b'0900747360',b'007'
b'09',b'130',b'0913015350',b'Clinton',b'0900715350',b'007'
b'09',b'140',b'0914046940',b'Middlebury',b'0900946940',b'009'
b'09',b'140',b'0914058300',b'Oxford',b'0900958300',b'009'
b'09',b'140',b'0914069640',b'Southbury',b'0900969640',b'009'
b'09',b'140',b'0914062290',b'Prospect',b'0900962290',b'009'
b'09',b'140',b'0914001220',b'Ansonia',b'0900901220',b'009'
b'09',b'140',b'0914014160',b'Cheshire',b'0900914160',b'009'
b'09',b'140',b'0914019550',b'Derby',b'0900919550',b'009'
b'09',b'140',b'0914008490',b'Bristol',b'0900308490',b'003'
b'09',b'140',b'0914067610',b'Seymour',b'0900967610',b'009'
b'09',b'140',b'0914049950',b'Naugatuck',b'0900949950',b'009'
b'09',b'140',b'0914080070',b'Waterbury',b'0900980070',b'009'
b'09',b'140',b'0914004930',b'Bethlehem',b'0900504930',b'005'
b'09',b'140',b'0914075730',b'Thomaston',b'0900575730',b'005'
b'09',b'140',b'0914080490',b'Watertown',b'0900580490',b'005'
b'09',b'140',b'0914087910',b'Woodbury',b'0900587910',b'005'
b'09',b'140',b'0914087560',b'Wolcott',b'0900987560',b'009'
b'09',b'140',b'0914003250',b'Beacon Falls',b'0900903250',b'009'
b'09',b'140',b'0914060750',b'Plymouth',b'0900560750',b'005'
b'09',b'140',b'0914068170',b'Shelton',b'0900168170',b'001'
b'09',b'150',b'0915067400',b'Scotland',b'0901567400',b'015'
b'09',b'150',b'0915040500',b'Killingly',b'0901540500',b'015'
b'09',b'150',b'0915036000',b'Hampton',b'0901536000',b'015'
b'09',b'150',b'0915077830',b'Union',b'0901377830',b'013'
b'09',b'150',b'0915001430',b'Ashford',b'0901501430',b'015'
b'09',b'150',b'0915009190',b'Brooklyn',b'0901509190',b'015'
b'09',b'150',b'0915012130',b'Canterbury',b'0901512130',b'015'
b'09',b'150',b'0915013810',b'Chaplin',b'0901513810',b'015'
b'09',b'150',b'0915021860',b'Eastford',b'0901521860',b'015'
b'09',b'150',b'0915059980',b'Plainfield',b'0901559980',b'015'
b'09',b'150',b'0915061030',b'Pomfret',b'0901561030',b'015'
b'09',b'150',b'0915073420',b'Sterling',b'0901573420',b'015'
b'09',b'150',b'0915075870',b'Thompson',b'0901575870',b'015'
b'09',b'150',b'0915088190',b'Woodstock',b'0901588190',b'015'
