tract_name,county_name,ce_name_2022,tract_fipscode_2020,tract_fipscode_2022,county_fipscode_2020,county_fipscode_2022
3504.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009350400',b'09140350400',b'09009',b'09140'
3505.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009350500',b'09140350500',b'09009',b'09140'
3527.01,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352701',b'09140352701',b'09009',b'09140'
3527.02,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352702',b'09140352702',b'09009',b'09140'
3528.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352800',b'09140352800',b'09009',b'09140'
1660.02,b'New Haven',b'South Central Connecticut Planning Region',b'09009166002',b'09170166002',b'09009',b'09170'
1942.02,b'New Haven',b'South Central Connecticut Planning Region',b'09009194202',b'09170194202',b'09009',b'09170'
3461.02,b'New Haven',b'Naugatuck Valley Planning Region',b'09009346102',b'09140346102',b'09009',b'09140'
3511.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009351100',b'09140351100',b'09009',b'09140'
3613.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009361300',b'09140361300',b'09009',b'09140'
1903.03,b'New Haven',b'South Central Connecticut Planning Region',b'09009190303',b'09170190303',b'09009',b'09170'
3411.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009341100',b'09140341100',b'09009',b'09140'
3432.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009343200',b'09140343200',b'09009',b'09140'
3508.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009350800',b'09140350800',b'09009',b'09140'
3518.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009351800',b'09140351800',b'09009',b'09140'
3510.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009351000',b'09140351000',b'09009',b'09140'
3512.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009351200',b'09140351200',b'09009',b'09140'
3513.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009351300',b'09140351300',b'09009',b'09140'
3514.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009351400',b'09140351400',b'09009',b'09140'
3509.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009350900',b'09140350900',b'09009',b'09140'
3451.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009345100',b'09140345100',b'09009',b'09140'
3452.02,b'New Haven',b'Naugatuck Valley Planning Region',b'09009345202',b'09140345202',b'09009',b'09140'
3471.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009347100',b'09140347100',b'09009',b'09140'
3472.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009347200',b'09140347200',b'09009',b'09140'
3522.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352200',b'09140352200',b'09009',b'09140'
3525.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352500',b'09140352500',b'09009',b'09140'
3526.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352600',b'09140352600',b'09009',b'09140'
3521.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352100',b'09140352100',b'09009',b'09140'
9072.0,b'Windham',b'Northeastern Connecticut Planning Region',b'09015907200',b'09150907200',b'09015',b'09150'
4602.04,b'Hartford',b'Capitol Planning Region',b'09003460204',b'09110460204',b'09003',b'09110'
4101.01,b'Hartford',b'Northwest Hills Planning Region',b'09003410101',b'09160410101',b'09003',b'09160'
4101.02,b'Hartford',b'Northwest Hills Planning Region',b'09003410102',b'09160410102',b'09003',b'09160'
5245.01,b'Hartford',b'Capitol Planning Region',b'09003524501',b'09110524501',b'09003',b'09110'
3202.0,b'Litchfiel',b'Northwest Hills Planning Region',b'09005320200',b'09160320200',b'09005',b'09160'
2661.0,b'Litchfiel',b'Northwest Hills Planning Region',b'09005266100',b'09160266100',b'09005',b'09160'
2984.0,b'Litchfiel',b'Northwest Hills Planning Region',b'09005298400',b'09160298400',b'09005',b'09160'
3421.0,b'Litchfiel',b'Naugatuck Valley Planning Region',b'09005342100',b'09140342100',b'09005',b'09140'
3106.02,b'Litchfiel',b'Northwest Hills Planning Region',b'09005310602',b'09160310602',b'09005',b'09160'
2501.0,b'Litchfiel',b'Western Connecticut Planning Region',b'09005250100',b'09190250100',b'09005',b'09190'
2651.0,b'Litchfiel',b'Northwest Hills Planning Region',b'09005265100',b'09160265100',b'09005',b'09160'
2531.0,b'Litchfiel',b'Western Connecticut Planning Region',b'09005253100',b'09190253100',b'09005',b'09190'
3454.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009345400',b'09140345400',b'09009',b'09140'
3461.01,b'New Haven',b'Naugatuck Valley Planning Region',b'09009346101',b'09140346101',b'09009',b'09140'
3524.0,b'New Haven',b'Naugatuck Valley Planning Region',b'09009352400',b'09140352400',b'09009',b'09140'
1862.0,b'New Haven',b'South Central Connecticut Planning Region',b'09009186200',b'09170186200',b'09009',b'09170'
1705.0,b'New Haven',b'South Central Connecticut Planning Region',b'09009170500',b'09170170500',b'09009',b'09170'
