zcta5_2020,statecode,countycode_2022,countycode_2020
b'06001',b'09',b'110',b'003'
b'06002',b'09',b'110',b'003'
b'06010',b'09',b'140',b'003'
b'06013',b'09',b'160',b'003'
b'06016',b'09',b'110',b'003'
b'06018',b'09',b'160',b'005'
b'06019',b'09',b'110',b'003'
b'06020',b'09',b'110',b'003'
b'06021',b'09',b'160',b'005'
b'06022',b'09',b'110',b'003'
b'06023',b'09',b'110',b'003'
b'06024',b'09',b'160',b'005'
b'06026',b'09',b'110',b'003'
b'06027',b'09',b'160',b'003'
b'06029',b'09',b'110',b'013'
b'06031',b'09',b'160',b'005'
b'06032',b'09',b'110',b'003'
b'06033',b'09',b'110',b'003'
b'06035',b'09',b'110',b'003'
b'06037',b'09',b'110',b'003'
b'06039',b'09',b'160',b'005'
b'06040',b'09',b'110',b'003'
b'06042',b'09',b'110',b'003'
b'06043',b'09',b'110',b'013'
b'06051',b'09',b'110',b'003'
b'06052',b'09',b'110',b'003'
b'06053',b'09',b'110',b'003'
b'06057',b'09',b'160',b'005'
b'06058',b'09',b'160',b'005'
b'06059',b'09',b'110',b'003'
b'06060',b'09',b'110',b'003'
b'06061',b'09',b'160',b'005'
b'06062',b'09',b'110',b'003'
b'06063',b'09',b'160',b'005'
b'06065',b'09',b'160',b'003'
b'06066',b'09',b'110',b'013'
b'06067',b'09',b'110',b'003'
b'06068',b'09',b'160',b'005'
b'06069',b'09',b'160',b'005'
b'06070',b'09',b'110',b'003'
b'06071',b'09',b'110',b'013'
b'06072',b'09',b'110',b'013'
b'06073',b'09',b'110',b'003'
b'06074',b'09',b'110',b'003'
b'06076',b'09',b'110',b'013'
b'06078',b'09',b'110',b'003'
b'06079',b'09',b'160',b'005'
b'06080',b'09',b'110',b'003'
b'06081',b'09',b'110',b'003'
b'06082',b'09',b'110',b'003'
b'06084',b'09',b'110',b'013'
b'06085',b'09',b'110',b'003'
b'06088',b'09',b'110',b'003'
b'06089',b'09',b'110',b'003'
b'06090',b'09',b'110',b'003'
b'06091',b'09',b'160',b'003'
b'06092',b'09',b'110',b'003'
b'06093',b'09',b'110',b'003'
b'06095',b'09',b'110',b'003'
b'06096',b'09',b'110',b'003'
b'06098',b'09',b'160',b'005'
b'06103',b'09',b'110',b'003'
b'06105',b'09',b'110',b'003'
b'06106',b'09',b'110',b'003'
b'06107',b'09',b'110',b'003'
b'06108',b'09',b'110',b'003'
b'06109',b'09',b'110',b'003'
