agency_name,state_name,agency_id_nces_assigned_district,county_number,agency_name_district
b'21ST CENTURY CHARTER SCH OF GARY',b'Indiana',1800046.0,18097.0,b'21st Century Charter Sch of Gary'
b'21ST CENTURY CYBER CS',b'Pennsylvania',4200091.0,42029.0,b'21st Century Cyber CS'
b'21ST CENTURY PUBLIC ACADEMY',b'NEW MEXICO',3500187.0,35001.0,b'21ST CENTURY PUBLIC ACADEMY'
b'A E R O  SPEC EDUC COOP',b'Illinois',1700024.0,17031.0,b'A E R O  Spec Educ Coop'
b'A W BEATTIE CAREER CENTER',b'Pennsylvania',4280010.0,42003.0,b'A W Beattie Career Center'
b'A W BROWN LEADERSHIP ACADEMY',b'Texas',4800095.0,48113.0,b'A W BROWN LEADERSHIP ACADEMY'
b'A+ ACADEMY',b'Texas',4800203.0,48113.0,b'A+ ACADEMY'
b'A+ ARTS ACADEMY',b'Ohio',3900305.0,39049.0,b'A+ Arts Academy'
b'A+ CHARTER SCHOOLS (1000166)',b'ARIZONA',400998.0,4021.0,b'A+ Charter Schools (1000166)'
"b""A+ CHILDREN'S ACADEMY""",b'Ohio',3901480.0,39049.0,"b""A+ Children's Academy"""
b'A+ UNLIMITED POTENTIAL',b'TEXAS',4801453.0,48201.0,b'A+ UNLIMITED POTENTIAL'
b'A-C CENTRAL CUSD 262',b'Illinois',1700105.0,17017.0,b'A-C Central CUSD 262'
"b""A. LINWOOD HOLTON GOVERNOR'S SCHOOL""",b'Virginia',5100033.0,51191.0,b'A. LINWOOD HOLTON GOV SCH'
b'A.C.E. ACADEMY',b'North Carolina',3700372.0,37025.0,b'A.C.E. Academy'
b'A.C.G.C. PUBLIC SCHOOL DISTRICT',b'Minnesota',2700106.0,27093.0,b'A.C.G.C. Public School District'
b'A.E. PHILLIPS LABORATORY SCHOOL',b'Louisiana',2200056.0,22061.0,b'A.E. Phillips Laboratory School'
b'ABBEVILLE 60',b'South Carolina',4500690.0,45001.0,b'Abbeville 60'
b'ABBOTSFORD SCHOOL DISTRICT',b'Wisconsin',5500030.0,55019.0,b'Abbotsford School District'
b'ABBOTT ISD',b'Texas',4807380.0,48217.0,b'ABBOTT ISD'
b'ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT)',b'Massachusetts',2500051.0,25027.0,b'Abby Kelley Foster Charter Public (District)'
b'ABC UNIFIED',b'California',601620.0,6037.0,b'ABC Unified'
b'ABERDEEN DISTRICT',b'Idaho',1600030.0,16011.0,b'ABERDEEN DISTRICT'
b'ABERDEEN SCHOOL DIST',b'Mississippi',2800360.0,28095.0,b'ABERDEEN SCHOOL DIST'
b'ABERDEEN SCHOOL DISTRICT',b'Washington',5300030.0,53027.0,b'Aberdeen School District'
