statecode,countycode,state,county,fipscode
b'02',b'000',b'AK',b'Alaska',b'02000'
b'01',b'000',b'AL',b'Alabama',b'01000'
b'05',b'000',b'AR',b'Arkansas',b'05000'
b'04',b'000',b'AZ',b'Arizona',b'04000'
b'06',b'000',b'CA',b'California',b'06000'
b'08',b'000',b'CO',b'Colorado',b'08000'
b'09',b'000',b'CT',b'Connecticut',b'09000'
b'11',b'000',b'DC',b'District of Columbia',b'11000'
b'10',b'000',b'DE',b'Delaware',b'10000'
b'12',b'000',b'FL',b'Florida',b'12000'
b'13',b'000',b'GA',b'Georgia',b'13000'
b'15',b'000',b'HI',b'Hawaii',b'15000'
b'19',b'000',b'IA',b'Iowa',b'19000'
b'16',b'000',b'ID',b'Idaho',b'16000'
b'17',b'000',b'IL',b'Illinois',b'17000'
b'18',b'000',b'IN',b'Indiana',b'18000'
b'20',b'000',b'KS',b'Kansas',b'20000'
b'21',b'000',b'KY',b'Kentucky',b'21000'
b'22',b'000',b'LA',b'Louisiana',b'22000'
b'25',b'000',b'MA',b'Massachusetts',b'25000'
b'24',b'000',b'MD',b'Maryland',b'24000'
b'23',b'000',b'ME',b'Maine',b'23000'
b'26',b'000',b'MI',b'Michigan',b'26000'
b'27',b'000',b'MN',b'Minnesota',b'27000'
b'29',b'000',b'MO',b'Missouri',b'29000'
b'28',b'000',b'MS',b'Mississippi',b'28000'
b'30',b'000',b'MT',b'Montana',b'30000'
b'37',b'000',b'NC',b'North Carolina',b'37000'
b'38',b'000',b'ND',b'North Dakota',b'38000'
b'31',b'000',b'NE',b'Nebraska',b'31000'
b'33',b'000',b'NH',b'New Hampshire',b'33000'
b'34',b'000',b'NJ',b'New Jersey',b'34000'
b'35',b'000',b'NM',b'New Mexico',b'35000'
b'32',b'000',b'NV',b'Nevada',b'32000'
b'36',b'000',b'NY',b'New York',b'36000'
b'39',b'000',b'OH',b'Ohio',b'39000'
b'40',b'000',b'OK',b'Oklahoma',b'40000'
b'41',b'000',b'OR',b'Oregon',b'41000'
b'42',b'000',b'PA',b'Pennsylvania',b'42000'
b'44',b'000',b'RI',b'Rhode Island',b'44000'
b'45',b'000',b'SC',b'South Carolina',b'45000'
b'46',b'000',b'SD',b'South Dakota',b'46000'
b'47',b'000',b'TN',b'Tennessee',b'47000'
b'48',b'000',b'TX',b'Texas',b'48000'
b'00',b'000',b'US',b'United States',b'00000'
b'49',b'000',b'UT',b'Utah',b'49000'
b'51',b'000',b'VA',b'Virginia',b'51000'
b'50',b'000',b'VT',b'Vermont',b'50000'
b'53',b'000',b'WA',b'Washington',b'53000'
b'55',b'000',b'WI',b'Wisconsin',b'55000'
b'54',b'000',b'WV',b'West Virginia',b'54000'
b'56',b'000',b'WY',b'Wyoming',b'56000'
