statecode,countycode,state,county,fipscode,SUMLEV,REGION,DIVISION,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
b'00',b'000',b'US',b'United States',b'00000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'01',b'000',b'AL',b'Alabama',b'01000',40.0,3.0,6.0,b'Alabama',b'Alabama',5024356.0,5031362.0,5049846.0,5074296.0,7006.0,18484.0,24450.0,13867.0,57112.0,58280.0,15165.0,69056.0,66870.0,-1298.0,-11944.0,-8590.0,127.0,1805.0,4597.0,9042.0,27704.0,28609.0,9169.0,29509.0,33206.0,-865.0,919.0,-166.0,127918.0,131155.0,134475.0,141319.0,11.330388184,11.513074392,13.699945483,13.210008315,-2.369557299,-1.696933923,0.3580920064,0.908126338,5.4961667292,5.6516394179,5.8542587357,6.559765756
b'01',b'001',b'AL',b'Autauga County',b'01001',50.0,3.0,6.0,b'Alabama',b'Autauga County',58802.0,58902.0,59210.0,59759.0,100.0,308.0,549.0,162.0,694.0,709.0,177.0,682.0,673.0,-15.0,12.0,36.0,0.0,15.0,27.0,99.0,240.0,508.0,99.0,255.0,535.0,16.0,41.0,-22.0,478.0,478.0,478.0,478.0,11.751557843,11.919071355,11.548360878,11.313871681,0.2031969656,0.6051996739,0.253996207,0.4538997554,4.0639393118,8.5400398423,4.3179355188,8.9939395977
b'01',b'003',b'AL',b'Baldwin County',b'01003',50.0,3.0,6.0,b'Alabama',b'Baldwin County',231761.0,233219.0,239361.0,246435.0,1458.0,6142.0,7074.0,560.0,2367.0,2411.0,593.0,3044.0,2909.0,-33.0,-677.0,-498.0,11.0,105.0,315.0,1592.0,6969.0,6982.0,1603.0,7074.0,7297.0,-112.0,-255.0,275.0,3546.0,3450.0,3360.0,3369.0,10.01735156,9.9259771591,12.882474925,11.976220471,-2.865123365,-2.050243312,0.4443692073,1.2968406492,29.493419104,28.744575913,29.937788311,30.041416562
b'01',b'005',b'AL',b'Barbour County',b'01005',50.0,3.0,6.0,b'Alabama',b'Barbour County',25224.0,24960.0,24539.0,24706.0,-264.0,-421.0,167.0,60.0,276.0,277.0,93.0,383.0,372.0,-33.0,-107.0,-95.0,0.0,0.0,4.0,-195.0,-308.0,243.0,-195.0,-308.0,247.0,-36.0,-6.0,15.0,2716.0,2475.0,2244.0,2701.0,11.151740439,11.249873084,15.475060102,15.108132805,-4.323319663,-3.858259722,0.0,0.1624530409,-12.44469585,9.8690222358,-12.44469585,10.031475277
b'01',b'007',b'AL',b'Bibb County',b'01007',50.0,3.0,6.0,b'Alabama',b'Bibb County',22300.0,22183.0,22370.0,22005.0,-117.0,187.0,-365.0,56.0,244.0,248.0,55.0,318.0,321.0,1.0,-74.0,-73.0,0.0,1.0,2.0,-107.0,259.0,-301.0,-107.0,260.0,-299.0,-11.0,1.0,7.0,2147.0,2063.0,2002.0,2033.0,10.953246695,11.177464789,14.275132988,14.467605634,-3.321886293,-3.290140845,0.0448903553,0.0901408451,11.626602025,-13.56619718,11.67149238,-13.47605634
b'01',b'009',b'AL',b'Blount County',b'01009',50.0,3.0,6.0,b'Alabama',b'Blount County',59130.0,59102.0,59085.0,59512.0,-28.0,-17.0,427.0,137.0,656.0,674.0,201.0,865.0,844.0,-64.0,-209.0,-170.0,1.0,9.0,14.0,21.0,140.0,592.0,22.0,149.0,606.0,14.0,43.0,-9.0,616.0,616.0,616.0,616.0,11.101051723,11.366223429,14.637819726,14.233075036,-3.536768003,-2.866851607,0.1523010145,0.2360936617,2.3691268921,9.9833891245,2.5214279066,10.219482786
b'01',b'011',b'AL',b'Bullock County',b'01011',50.0,3.0,6.0,b'Alabama',b'Bullock County',10362.0,10296.0,10280.0,10202.0,-66.0,-16.0,-78.0,24.0,110.0,112.0,40.0,150.0,149.0,-16.0,-40.0,-37.0,0.0,1.0,1.0,-44.0,18.0,-39.0,-44.0,19.0,-38.0,-6.0,5.0,-3.0,1706.0,1696.0,1704.0,1702.0,10.692068429,10.936431989,14.580093313,14.549360414,-3.888024883,-3.612928425,0.0972006221,0.0976467142,1.7496111975,-3.808221853,1.8468118196,-3.710575139
b'01',b'013',b'AL',b'Butler County',b'01013',50.0,3.0,6.0,b'Alabama',b'Butler County',19055.0,19031.0,18855.0,18650.0,-24.0,-176.0,-205.0,47.0,219.0,222.0,88.0,331.0,317.0,-41.0,-112.0,-95.0,0.0,5.0,11.0,15.0,-75.0,-116.0,15.0,-70.0,-105.0,2.0,6.0,-5.0,288.0,288.0,288.0,288.0,11.560998786,11.838421544,17.473473051,16.904412745,-5.912474265,-5.065991201,0.263949744,0.5865884549,-3.95924616,-6.185841888,-3.695296416,-5.599253433
b'01',b'015',b'AL',b'Calhoun County',b'01015',50.0,3.0,6.0,b'Alabama',b'Calhoun County',116444.0,116239.0,115677.0,115788.0,-205.0,-562.0,111.0,305.0,1276.0,1303.0,396.0,1868.0,1832.0,-91.0,-592.0,-529.0,0.0,12.0,35.0,-119.0,-68.0,637.0,-119.0,-56.0,672.0,5.0,86.0,-32.0,5631.0,5554.0,5410.0,5752.0,11.003984201,11.258721621,16.109280947,15.829607068,-5.105296745,-4.570885447,0.1034857448,0.3024215324,-0.586419221,5.5040718899,-0.482933476,5.8064934223
