statecode,countycode,state,county,fipscode,SUMLEV,REGION,DIVISION,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
b'00',b'000',b'US',b'United States',b'00000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'01',b'000',b'AL',b'Alabama',b'01000',40.0,3.0,6.0,b'Alabama',b'Alabama',5024294.0,5031864.0,5050380.0,5073903.0,5108468.0,7570.0,18516.0,23523.0,34565.0,13867.0,57184.0,58106.0,58251.0,15165.0,69135.0,67208.0,59813.0,-1298.0,-11951.0,-9102.0,-1562.0,125.0,1806.0,4374.0,5384.0,9615.0,27715.0,28464.0,30744.0,9740.0,29521.0,32838.0,36128.0,-872.0,946.0,-213.0,-1.0,127914.0,131372.0,134653.0,141654.0,144014.0,11.343506465,11.478541246,11.4415395,13.714208861,13.276594501,11.748344271,-2.370702395,-1.798053255,-0.306804771,0.3582535793,0.8640611883,1.0575140112,5.4977840251,5.6229167043,6.0386721325,5.8560376043,6.4869778927,7.0961861437
b'01',b'001',b'AL',b'Autauga County',b'01001',50.0,3.0,6.0,b'Alabama',b'Autauga County',58809.0,58915.0,59203.0,59726.0,60342.0,106.0,288.0,523.0,616.0,162.0,686.0,706.0,714.0,176.0,696.0,687.0,621.0,-14.0,-10.0,19.0,93.0,0.0,15.0,22.0,34.0,100.0,242.0,507.0,491.0,100.0,257.0,529.0,525.0,20.0,41.0,-25.0,-2.0,484.0,484.0,484.0,484.0,484.0,11.615503141,11.872629888,11.893260486,11.784825344,11.55311152,10.344138322,-0.169322203,0.3195183681,1.5491221641,0.2539833048,0.3699686367,0.5663457374,4.0975973179,8.5260954015,8.1786987374,4.3515806228,8.8960640382,8.7450444748
b'01',b'003',b'AL',b'Baldwin County',b'01003',50.0,3.0,6.0,b'Alabama',b'Baldwin County',231768.0,233227.0,239439.0,246531.0,253507.0,1459.0,6212.0,7092.0,6976.0,560.0,2337.0,2511.0,2531.0,602.0,2948.0,3022.0,2640.0,-42.0,-611.0,-511.0,-109.0,11.0,105.0,250.0,291.0,1613.0,6972.0,7036.0,6804.0,1624.0,7077.0,7286.0,7095.0,-123.0,-254.0,317.0,-10.0,3549.0,3448.0,3351.0,3468.0,3493.0,9.8885894056,10.333971233,10.123230634,12.473924505,12.436981707,10.559197501,-2.585335099,-2.103010474,-0.435966867,0.4442883558,1.0288700949,1.1639115427,29.500746828,28.95651995,27.213931741,29.945035183,29.985390045,28.377843284
b'01',b'005',b'AL',b'Barbour County',b'01005',50.0,3.0,6.0,b'Alabama',b'Barbour County',25229.0,24969.0,24533.0,24700.0,24585.0,-260.0,-436.0,167.0,-115.0,60.0,270.0,278.0,267.0,92.0,390.0,363.0,350.0,-32.0,-120.0,-85.0,-83.0,0.0,0.0,2.0,13.0,-186.0,-313.0,237.0,-45.0,-186.0,-313.0,239.0,-32.0,-42.0,-3.0,13.0,0.0,2721.0,2482.0,2248.0,2702.0,2702.0,10.908650156,11.293238275,10.834939637,15.756939114,14.746206813,14.203104393,-4.848288958,-3.452968537,-3.368164756,0.0,0.0812463185,0.5275438774,-12.6459537,9.6276887454,-1.826113422,-12.6459537,9.7089350639,-1.298569544
b'01',b'007',b'AL',b'Bibb County',b'01007',50.0,3.0,6.0,b'Alabama',b'Bibb County',22301.0,22188.0,22359.0,21986.0,21868.0,-113.0,171.0,-373.0,-118.0,56.0,240.0,236.0,240.0,55.0,325.0,314.0,290.0,1.0,-85.0,-78.0,-50.0,0.0,1.0,1.0,1.0,-101.0,254.0,-303.0,-69.0,-101.0,255.0,-302.0,-68.0,-13.0,1.0,7.0,0.0,2141.0,2060.0,1994.0,2025.0,1894.0,10.775136373,10.643815537,10.945409769,14.591330505,14.161686774,13.225703471,-3.816194132,-3.517871237,-2.280293702,0.0448964016,0.0451009133,0.045605874,11.403685995,-13.66557673,-3.146805309,11.448582396,-13.62047581,-3.101199434
b'01',b'009',b'AL',b'Blount County',b'01009',50.0,3.0,6.0,b'Alabama',b'Blount County',59130.0,59107.0,59079.0,59516.0,59816.0,-23.0,-28.0,437.0,300.0,137.0,654.0,693.0,698.0,199.0,875.0,846.0,776.0,-62.0,-221.0,-153.0,-78.0,1.0,9.0,8.0,24.0,21.0,141.0,589.0,358.0,22.0,150.0,597.0,382.0,17.0,43.0,-7.0,-4.0,616.0,616.0,616.0,616.0,616.0,11.067300696,11.68683334,11.698454731,14.807168362,14.267043299,13.005731908,-3.739867666,-2.580209958,-1.307277176,0.1523023031,0.134912939,0.4022391312,2.386069416,9.9329651334,6.0000670399,2.5383717192,10.067878072,6.402306171
b'01',b'011',b'AL',b'Bullock County',b'01011',50.0,3.0,6.0,b'Alabama',b'Bullock County',10360.0,10229.0,10143.0,10143.0,9897.0,-131.0,-86.0,0.0,-246.0,24.0,111.0,103.0,102.0,41.0,160.0,138.0,133.0,-17.0,-49.0,-35.0,-31.0,0.0,1.0,5.0,6.0,-94.0,-42.0,32.0,-219.0,-94.0,-41.0,37.0,-213.0,-20.0,4.0,-2.0,-2.0,1705.0,1631.0,1578.0,1648.0,1615.0,10.897310033,10.154786552,10.179640719,15.707834282,13.605442177,13.273453094,-4.810524249,-3.450655625,-3.093812375,0.0981739643,0.4929508035,0.5988023952,-4.123306499,3.1548851425,-21.85628743,-4.025132535,3.647835946,-21.25748503
b'01',b'013',b'AL',b'Butler County',b'01013',50.0,3.0,6.0,b'Alabama',b'Butler County',19046.0,19025.0,18890.0,18668.0,18382.0,-21.0,-135.0,-222.0,-286.0,47.0,227.0,207.0,212.0,88.0,297.0,312.0,299.0,-41.0,-70.0,-105.0,-87.0,0.0,5.0,6.0,8.0,15.0,-75.0,-117.0,-207.0,15.0,-70.0,-111.0,-199.0,5.0,5.0,-6.0,0.0,285.0,285.0,285.0,285.0,285.0,11.97415271,11.022951169,11.443994602,15.666622709,16.614303211,16.140350877,-3.692469999,-5.591352042,-4.696356275,0.263747857,0.319505831,0.4318488529,-3.956217856,-6.230363704,-11.17408907,-3.692469999,-5.910857873,-10.74224022
b'01',b'015',b'AL',b'Calhoun County',b'01015',50.0,3.0,6.0,b'Alabama',b'Calhoun County',116441.0,116243.0,115678.0,115780.0,116429.0,-198.0,-565.0,102.0,649.0,305.0,1250.0,1334.0,1346.0,397.0,1843.0,1852.0,1649.0,-92.0,-593.0,-518.0,-303.0,0.0,12.0,22.0,29.0,-115.0,-70.0,635.0,923.0,-115.0,-58.0,657.0,952.0,9.0,86.0,-37.0,0.0,5632.0,5554.0,5407.0,5749.0,5936.0,10.779532686,11.526929292,11.593004578,15.893342992,16.002903335,14.202722547,-5.113810306,-4.475974043,-2.60971797,0.1034835138,0.1900992837,0.2497749872,-0.60365383,5.4869565969,7.9497349371,-0.500170317,5.6770558805,8.1995099242
