statecode,countycode,state,county,fipscode,SUMLEV,REGION,DIVISION,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
b'00',b'000',b'US',b'United States',b'00000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'01',b'000',b'AL',b'Alabama',b'01000',40.0,3.0,6.0,b'Alabama',b'Alabama',5025369.0,5033094.0,5049196.0,5076181.0,5117673.0,5157699.0,7725.0,16102.0,26985.0,41492.0,40026.0,13867.0,57184.0,58103.0,58528.0,57541.0,15146.0,69134.0,67246.0,60059.0,59273.0,-1279.0,-11950.0,-9143.0,-1531.0,-1732.0,133.0,1804.0,8155.0,12995.0,15763.0,9757.0,25175.0,28226.0,29946.0,26028.0,9890.0,26979.0,36381.0,42941.0,41791.0,-886.0,1073.0,-253.0,82.0,-33.0,128979.0,132343.0,132586.0,139745.0,142854.0,145520.0,11.343454711,11.476708472,11.4829975,11.199789166,13.713947923,13.28266592,11.783374571,11.536905914,-2.370493211,-1.805957447,-0.30037707,-0.337116749,0.3578552095,1.6108042199,2.5495754599,3.0681127652,4.9939051545,5.575298579,5.8753048651,5.0660939575,5.351760364,7.1861027989,8.4248803249,8.1342067226
b'01',b'001',b'AL',b'Autauga County',b'01001',50.0,3.0,6.0,b'Alabama',b'Autauga County',58800.0,58909.0,59191.0,59736.0,60436.0,61464.0,109.0,282.0,545.0,700.0,1028.0,162.0,686.0,718.0,732.0,738.0,175.0,693.0,710.0,627.0,569.0,-13.0,-7.0,8.0,105.0,169.0,0.0,15.0,54.0,113.0,136.0,101.0,226.0,508.0,490.0,727.0,101.0,241.0,562.0,603.0,863.0,21.0,48.0,-25.0,-8.0,-4.0,483.0,483.0,467.0,471.0,483.0,499.0,11.617273497,12.074634019,12.182538362,12.10828548,11.735817104,11.940097707,10.435043105,9.3355209188,-0.118543607,0.1345363122,1.7474952568,2.7727645611,0.2540220152,0.9081201073,1.8806377526,2.2313371616,3.8272650296,8.5430558242,8.1549778651,11.92780968,4.0812870449,9.4511759315,10.035615618,14.159146842
b'01',b'003',b'AL',b'Baldwin County',b'01003',50.0,3.0,6.0,b'Alabama',b'Baldwin County',231767.0,233244.0,239411.0,246577.0,254107.0,261608.0,1477.0,6167.0,7166.0,7530.0,7501.0,560.0,2337.0,2448.0,2546.0,2505.0,600.0,2947.0,3053.0,2680.0,2655.0,-40.0,-610.0,-605.0,-134.0,-150.0,13.0,102.0,451.0,889.0,1075.0,1631.0,6967.0,6962.0,6627.0,6570.0,1644.0,7069.0,7413.0,7516.0,7645.0,-127.0,-292.0,358.0,148.0,6.0,3549.0,3451.0,3280.0,3381.0,3448.0,3528.0,9.8888195407,10.074322823,10.170087321,9.7146679852,12.469983392,12.564096233,10.705355074,10.296384631,-2.581163851,-2.48977341,-0.535267754,-0.581716646,0.4316044472,1.8560129057,3.5511420377,4.1689692951,29.480276311,28.650913191,26.471786596,25.479189087,29.911880759,30.506926097,30.022928634,29.648158382
b'01',b'005',b'AL',b'Barbour County',b'01005',50.0,3.0,6.0,b'Alabama',b'Barbour County',25226.0,24975.0,24517.0,24722.0,24644.0,24358.0,-251.0,-458.0,205.0,-78.0,-286.0,60.0,270.0,269.0,275.0,259.0,91.0,389.0,350.0,328.0,340.0,-31.0,-119.0,-81.0,-53.0,-81.0,0.0,0.0,22.0,21.0,32.0,-177.0,-334.0,248.0,-40.0,-236.0,-177.0,-334.0,270.0,-19.0,-204.0,-43.0,-5.0,16.0,-6.0,-1.0,2718.0,2486.0,2226.0,2696.0,2703.0,2662.0,10.910854279,10.92629826,11.14127132,10.570997102,15.719712277,14.2163732,13.288498157,13.876984613,-4.808857997,-3.290074941,-2.147226836,-3.305987511,0.0,0.8936006011,0.8507879917,1.30606914,-13.49713085,10.073315868,-1.620548556,-9.632259908,-13.49713085,10.966916469,-0.769760564,-8.326190768
b'01',b'007',b'AL',b'Bibb County',b'01007',50.0,3.0,6.0,b'Alabama',b'Bibb County',22284.0,22176.0,22344.0,21983.0,21890.0,22258.0,-108.0,168.0,-361.0,-93.0,368.0,56.0,240.0,259.0,248.0,250.0,54.0,324.0,330.0,264.0,256.0,2.0,-84.0,-71.0,-16.0,-6.0,0.0,1.0,2.0,1.0,2.0,-97.0,248.0,-300.0,-76.0,373.0,-97.0,249.0,-298.0,-75.0,375.0,-13.0,3.0,8.0,-2.0,-1.0,2144.0,2066.0,1994.0,2030.0,1897.0,2105.0,10.781671159,11.685879938,11.305358649,11.325541361,14.555256065,14.889345094,12.034736626,11.597354354,-3.773584906,-3.203465157,-0.729377977,-0.271812993,0.0449236298,0.0902384551,0.0455861236,0.0906043309,11.141060198,-13.53576827,-3.464545392,16.89770771,11.185983827,-13.44552981,-3.418959269,16.988312041
b'01',b'009',b'AL',b'Blount County',b'01009',50.0,3.0,6.0,b'Alabama',b'Blount County',59130.0,59110.0,59050.0,59491.0,59777.0,60163.0,-20.0,-60.0,441.0,286.0,386.0,137.0,654.0,688.0,696.0,692.0,200.0,876.0,875.0,805.0,782.0,-63.0,-222.0,-187.0,-109.0,-90.0,1.0,9.0,36.0,41.0,55.0,21.0,108.0,599.0,366.0,425.0,22.0,117.0,635.0,407.0,480.0,21.0,45.0,-7.0,-12.0,-4.0,618.0,618.0,582.0,597.0,614.0,614.0,11.069735951,11.607798146,11.671194285,11.539102885,14.827352742,14.762824677,13.499010632,13.03985326,-3.757616791,-3.155026531,-1.827816346,-1.500750375,0.1523358158,0.6073847867,0.6875272496,0.9171252293,1.8280297901,10.106207979,6.1374383741,7.0868767717,1.980365606,10.713592765,6.8249656236,8.004002001
b'01',b'011',b'AL',b'Bullock County',b'01011',50.0,3.0,6.0,b'Alabama',b'Bullock County',10355.0,10230.0,10126.0,10126.0,9908.0,9901.0,-125.0,-104.0,0.0,-218.0,-7.0,24.0,111.0,101.0,98.0,98.0,41.0,160.0,131.0,123.0,119.0,-17.0,-49.0,-30.0,-25.0,-21.0,0.0,1.0,7.0,15.0,17.0,-88.0,-61.0,28.0,-211.0,-5.0,-88.0,-60.0,35.0,-196.0,12.0,-20.0,5.0,-5.0,3.0,2.0,1704.0,1635.0,1562.0,1628.0,1609.0,1637.0,10.905875418,9.9743235236,9.7833682739,9.8944924024,15.720180782,12.936993877,12.279125487,12.014740774,-4.814305365,-2.962670354,-2.495757213,-2.120248372,0.0982511299,0.6912897492,1.4974543276,1.7163915392,-5.993318923,2.7651589966,-21.06419088,-0.504821041,-5.895067793,3.4564487458,-19.56673655,1.2115704983
b'01',b'013',b'AL',b'Butler County',b'01013',50.0,3.0,6.0,b'Alabama',b'Butler County',19048.0,19027.0,18856.0,18652.0,18357.0,18256.0,-21.0,-171.0,-204.0,-295.0,-101.0,47.0,227.0,203.0,198.0,198.0,88.0,294.0,326.0,296.0,275.0,-41.0,-67.0,-123.0,-98.0,-77.0,0.0,5.0,12.0,7.0,8.0,15.0,-111.0,-87.0,-204.0,-33.0,15.0,-106.0,-75.0,-197.0,-25.0,5.0,2.0,-6.0,0.0,1.0,284.0,284.0,243.0,273.0,281.0,277.0,11.984267349,10.82435747,10.700099976,10.815830443,15.521474012,17.382958302,15.996109055,15.021986726,-3.537206663,-6.558600832,-5.296009079,-4.206156283,0.2639706465,0.6398634958,0.3782863628,0.4370032502,-5.860148352,-4.639010344,-11.02434543,-1.802638407,-5.596177705,-3.999146849,-10.64605907,-1.365635157
b'01',b'015',b'AL',b'Calhoun County',b'01015',50.0,3.0,6.0,b'Alabama',b'Calhoun County',116437.0,116242.0,115633.0,115744.0,116403.0,116427.0,-195.0,-609.0,111.0,659.0,24.0,305.0,1250.0,1353.0,1353.0,1334.0,397.0,1850.0,1923.0,1661.0,1659.0,-92.0,-600.0,-570.0,-308.0,-325.0,0.0,12.0,52.0,67.0,92.0,-112.0,-116.0,669.0,904.0,258.0,-112.0,-104.0,721.0,971.0,350.0,9.0,95.0,-40.0,-4.0,-1.0,5636.0,5557.0,5358.0,5741.0,5939.0,5918.0,10.781671159,11.695198745,11.656407363,11.459004424,15.956873315,16.622222606,14.30989847,14.250740884,-5.175202156,-4.927023861,-2.653491107,-2.79173646,0.1035040431,0.4494828786,0.5772204681,0.7902761672,-1.000539084,5.7827701111,7.7881687035,2.2162092514,-0.89703504,6.2322529897,8.3653891715,3.0064854185
