"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"29","005",10,959,10.4275286757039,19.1765964984544,5.00040531400671
"30","101",10,828,12.0772946859903,22.2105749299732,5.79153224170584
"31","123",10,994,10.0603621730382,18.5013642273821,4.82433470435859
"20","069",10,1469,6.8073519400953,12.5189625881673,3.26438985441282
"20","135",10,528,18.9393939393939,34.8302197765488,9.08217556085688
"16","003",10,760,13.1578947368421,24.1978368973918,6.30972196859531
"53","013",10,685,14.5985401459854,26.8472350978362,7.00056743960939
"38","057",10,1503,6.65335994677312,12.2357658296858,3.19054470800561
"46","087",10,1313,7.61614623000762,14.0063640837911,3.65223815394702
"30","057",10,1316,7.59878419452888,13.9744346823843,3.64391238307936
"27","089",10,1877,5.3276505061268,9.7977389675108,2.55481550140247
"42","023",10,634,15.7728706624606,29.0068707287347,7.56370456803223
"31","175",10,816,12.2549019607843,22.5372010318845,5.87670183349563
"46","003",10,591,16.9204737732657,31.1173537089979,8.11402486655234
"51","115",11,1431,7.6869322152341,13.7540450826708,3.8372888659936
"20","201",11,1051,10.4662226450999,18.7269633808772,5.22470063485903
"08","073",11,960,11.4583333333333,20.5021234513562,5.71995871587171
"42","113",11,615,17.8861788617886,32.0033146557755,8.92871604428754
"17","171",11,909,12.1012101210121,21.6524076053927,6.04088049200972
"20","007",11,834,13.189448441247,23.5995665627122,6.58412514057175
"31","065",11,1010,10.8910891089109,19.4871668448534,5.43679244280875
"20","157",11,876,12.5570776255708,22.4680804946369,6.26844790780461
"29","129",11,749,14.6862483311081,26.2777550244352,7.33132225265265
"26","089",11,3360,3.27380952380952,5.85774955753034,1.63427391882049
"49","055",11,622,17.6848874598071,31.6431487352121,8.82823210166694
"48","137",11,265,41.5094339622641,74.2718434464225,20.7213598763654
"21","201",11,391,28.1329923273657,50.3376944074219,14.0438884072553
"40","059",11,826,13.317191283293,23.8281337933438,6.64789390706639
"48","319",11,780,14.1025641025641,25.2333827093615,7.03994918876518
"17","155",11,1083,10.1569713758079,18.1736274361052,5.07032351545415
"49","029",11,4033,2.72749814034218,4.88024758574311,1.36155724454174
"17","009",11,897,12.263099219621,21.9420719211839,6.12169494675233
"30","023",11,1312,8.38414634146342,15.0015537448948,4.18533564575979
"08","025",11,678,16.2241887905605,29.0295553293539,8.0990565888449
"20","089",11,503,21.868787276342,39.1293012192882,10.9168198155802
"48","333",11,1003,10.9670987038883,19.6231690062831,5.47473615876056
"08","009",11,678,16.2241887905605,29.0295553293539,8.0990565888449
"31","105",11,630,17.4603174603175,31.2413309734952,8.7161275670426
"46","091",11,791,13.9064475347661,24.8824759965891,6.9420485047242
"08","121",12,996,12.0481927710843,21.0457681206596,6.22547701678937
"31","127",12,2074,5.78592092574735,10.1068394639233,2.98966977276867
"31","093",12,1277,9.39702427564605,16.4147102961448,4.85557956830244
"13","061",12,535,22.4299065420561,39.1805328003308,11.5898600163032
"27","051",12,1225,9.79591836734694,17.1114979985118,5.06169396630385
"20","119",12,847,14.1676505312869,24.7480342953683,7.32063176944772
"29","103",12,800,15,26.2019813102212,7.75071888590277
"19","195",12,1325,9.05660377358491,15.8200641873034,4.67967932733752
"32","027",12,899,13.3481646273637,23.3165573394627,6.89719144462983
"38","097",12,1901,6.31246712256707,11.0266097044592,3.26174387623473
"27","077",12,694,17.2910662824208,30.204013037719,8.93454626617034
"35","033",12,742,16.1725067385445,28.2501146201846,8.35657022738843
"27","125",12,891,13.4680134680135,23.5259091449797,6.95911908947499
"08","097",12,2536,4.73186119873817,8.26560924612656,2.4450217305687
"16","085",12,1859,6.4550833781603,11.2757316020317,3.33543577661227
"38","055",13,1773,7.33220530174845,12.538294370084,3.90409051946069
"17","153",13,1077,12.0705663881151,20.6410361357093,6.42706823677233
"19","009",13,1057,12.2989593188269,21.0315950029885,6.54867785336216
"51","610",13,3330,3.9039039039039,6.67579457001768,2.07866441171285
"50","013",13,1188,10.9427609427609,18.7124544765647,5.82655933586179
"27","121",13,1941,6.69757856774858,11.4530633272328,3.56617851159392
"31","023",13,1822,7.13501646542261,12.2010954545329,3.79909576893732
"19","089",13,2084,6.23800383877159,10.6671765442221,3.32147432389818
"48","081",13,711,18.2841068917018,31.2663796317284,9.73551686498425
"46","125",13,1852,7.01943844492441,12.0034535195242,3.7375553407148
"51","735",13,2789,4.66116887773395,7.97074073795585,2.48187611724769
"48","385",13,478,27.1966527196653,46.5071044312947,14.4810721569117
"46","051",13,1315,9.88593155893536,16.9052440442273,5.26384219848198
"38","025",13,771,16.8612191958495,28.8331983374305,8.97788909339014
"20","163",13,984,13.2113821138211,22.5918657704867,7.03450456402825
"30","007",13,1308,9.9388379204893,16.9957155337606,5.29201260780107
"17","069",13,680,19.1176470588235,32.6917587031748,10.179341898535
"48","087",13,663,19.6078431372549,33.5300089263332,10.4403506651641
"30","095",13,2016,6.4484126984127,11.0269821022613,3.43350818006141
"27","081",13,1082,12.0147874306839,20.5456524197402,6.39736829113106
"19","051",13,2290,5.67685589519651,9.70759647081174,3.02268667729424
"19","003",13,669,19.4319880418535,33.2292913574871,10.3467152331895
"29","199",13,1114,11.6696588868941,19.9554720988859,6.21360187702316
"32","021",14,696,20.1149425287356,33.7494556348212,10.9970262590526
"51","017",14,563,24.866785079929,41.7222400032603,13.5949027998234
"48","295",14,768,18.2291666666667,30.5854441690567,9.96605504726641
"20","053",14,892,15.695067264574,26.3336559661834,8.58063932320695
"48","447",14,317,44.1640378548896,74.0997511729829,24.1448904615161
"48","211",14,1235,11.336032388664,19.019936131041,6.19751439376567
"51","181",14,1014,13.8067061143984,23.1653068262678,7.54825471035562
"18","115",14,1079,12.9749768303985,21.7698064150469,7.09354057117757
"37","095",14,789,17.743979721166,29.7713829174088,9.70079882927833
"40","003",14,892,15.695067264574,26.3336559661834,8.58063932320695
"56","019",14,1651,8.47970926711084,14.2275112791251,4.63593596384046
"16","061",14,822,17.0316301703163,28.5761814134253,9.31135070109562
"48","413",14,704,19.8863636363636,33.3659390935164,10.8720600515634
"46","067",14,1506,9.29614873837981,15.5973579826265,5.08229102011992
"27","155",14,624,22.4358974358974,37.6436235926852,12.2659139043279
"35","028",14,4070,3.43980343980344,5.77140568104068,1.88057254945961
"51","021",14,940,14.8936170212766,24.9889586402506,8.14247901734106
"20","123",14,1281,10.9289617486339,18.3369407664602,5.97496508688571
"40","025",14,520,26.9230769230769,45.1723483112223,14.7190966851935
"13","307",14,520,26.9230769230769,45.1723483112223,14.7190966851935
"30","001",14,2358,5.93723494486853,9.96167138330601,3.2459415930028
"48","129",14,1127,12.4223602484472,20.8426096910697,6.79141994347879
"31","161",14,949,14.7523709167545,24.7519716773821,8.06525845764025
"40","053",15,969,15.4798761609907,25.5317016217604,8.66396917727896
"55","099",15,2430,6.17283950617284,10.181160029418,3.45489141266803
"19","151",15,1466,10.2319236016371,16.8760019587216,5.72672996779217
"31","021",15,1331,11.2697220135237,18.5876926156918,6.30757786084396
"46","101",15,1413,10.6157112526539,17.5090013244769,5.9415330026775
"46","115",15,1236,12.1359223300971,20.0163583102636,6.7923836025755
"19","143",15,1217,12.3253903040263,20.3288569198733,6.89842738930428
"31","003",15,1257,11.9331742243437,19.6819561427891,6.67890702687614
"08","049",15,2595,5.78034682080925,9.53380303332788,3.23521623614001
"30","077",15,897,16.7224080267559,27.5810689760154,9.3594048303047
"55","011",15,2664,5.63063063063063,9.28686894575294,3.15142122101476
"56","017",15,877,17.1037628278221,28.2100557257535,9.57284621754084
"17","175",15,1068,14.0449438202247,23.1649989433388,7.86084843893569
"48","271",15,613,24.4698205546493,40.3592477512004,13.6955728104132
"19","159",15,1068,14.0449438202247,23.1649989433388,7.86084843893569
"08","023",15,677,22.1565731166913,36.5438978899348,12.4008657795913
"08","093",16,2561,6.24755954705193,10.1456452938543,3.57102009123058
"26","153",16,1258,12.7186009538951,20.654211126837,7.26977937491377
"44","001",16,13322,1.20102086773758,1.95038264506538,0.686487198141535
"37","177",16,592,27.027027027027,43.8901986445286,15.4482811716918
"31","089",16,2173,7.36309249884952,11.9572009192641,4.20864355896987
"20","197",16,1491,10.7310529845741,17.426557744843,6.13372397963885
"13","101",16,954,16.7714884696017,27.2358465383239,9.58635477320914
"27","055",16,3660,4.37158469945355,7.09917967146474,2.49873837531189
"25","019",16,2416,6.62251655629139,10.7545519857454,3.78534041955361
"17","169",16,1281,12.4902419984387,20.2833704898993,7.13925250089112
"20","137",16,918,17.4291938997821,28.3039189515915,9.96229025451147
"16","035",16,1226,13.0505709624796,21.1933096228067,7.45952891814154
"31","031",16,1059,15.1085930122757,24.5354084962804,8.63586633960484
"13","181",16,1356,11.7994100294985,19.1615026530685,6.7443823404436
"25","007",16,3030,5.28052805280528,8.5752467318683,3.01827803750545
"30","065",16,938,17.0575692963753,27.7004238779968,9.7498746840528
"19","059",16,3039,5.26488976637052,8.54985113443927,3.00933940560761
"40","045",16,870,18.3908045977011,29.8655144799551,10.5119338547604
"17","151",16,576,27.7777777777778,45.1093708290989,15.8774000931276
"16","059",16,1374,11.6448326055313,18.9104786008449,6.65602798663866
"38","009",16,1416,11.2994350282486,18.3495745745487,6.45860342771294
"19","189",16,2565,6.23781676413255,10.1298236247801,3.56545124898305
"29","197",16,904,17.6991150442478,28.7422539796028,10.1165735106654
"30","099",16,1313,12.1858339680122,19.7890309196961,6.96525700962797
"56","045",16,1208,13.2450331125828,21.5091039714909,7.57068083910722
"19","119",16,2845,5.62390158172232,9.13286383042564,3.21454567790563
"08","015",16,2738,5.84368151935719,9.48977267989808,3.34016890198741
"31","081",16,1953,8.19252432155658,13.3041462353103,4.68273551133719
"27","167",17,1150,14.7826086956522,23.668388535571,8.61141432139764
