statecode,countycode,state,county,fipscode,v024aian,v024aianlow,v024aianhigh,aiannum,aiandenom,v024hispanic,v024hispaniclow,v024hispanichigh,hispanicnum,hispanicdenom,v024white,v024whitelow,v024whitehigh,whitenum,whitedenom,v024black,v024blacklow,v024blackhigh,blacknum,blackdenom,v024asian,v024asianlow,v024asianhigh,asiannum,asiandenom
00,000,US,United States,00000,0.27962268381265476,0.27481009709351173,0.2844352705317978,207029,740387,0.22255982554314677,0.22056596549623733,0.2245536855900562,4180720,18784702,0.1002664967978874,0.09915793774353644,0.10137505585223837,3485516,34762519,0.3017467889900739,0.29919254198936884,0.30430103599077896,2945781,9762427,0.10602060209116178,0.10405502920508958,0.10798617497723398,411030,3876888
01,000,AL,Alabama,01000,0.2586007850380974,0.18151253437145182,0.335689035704743,1120,4331,0.3560951105157401,0.3372394590752919,0.3749507619561883,31899,89580,0.1186104386340998,0.1139738899944064,0.1232469872737932,73589,620426,0.3806949245732559,0.3709239069366753,0.39046594220983644,120477,316466,0.13781569965870308,0.10672017220809155,0.1689112271093146,2019,14650
01,001,AL,Autauga County,01001,NA,NA,NA,0,0,0.22142857142857142,0.02768508508116832,0.41517205777597455,155,700,0.0826537359488649,0.0506310109681531,0.11467646092957669,750,9074,0.2609871534820825,0.13382594226170175,0.3881483647024633,772,2958,NA,NA,NA,0,99
01,003,AL,Baldwin County,01003,NA,NA,NA,0,120,0.33621899859616283,0.1908740193469146,0.48156397784541105,1437,4274,0.06865477769057993,0.052389863638932443,0.08491969174222741,2537,36953,0.536754507628294,0.440628408056194,0.632880607200394,2322,4326,0.1262135922330097,0,0.2940298236334884,78,618
01,005,AL,Barbour County,01005,NA,NA,NA,0,0,0.5963020030816641,0.39338501348359717,0.7992189926797311,387,649,0.038461538461538464,0.0014261786501078844,0.07549689827296904,65,1690,0.49295774647887325,0.4279437956661033,0.5579716972916432,1295,2627,NA,NA,NA,0,15
01,007,AL,Bibb County,01007,NA,NA,NA,0,0,0.39914163090128757,0.08503500531124458,0.7132482564913305,93,233,0.23948925568358767,0.16309894190329816,0.3158795694638772,769,3211,0.6943127962085308,0.5117110338161066,0.876914558600955,586,844,NA,NA,NA,0,0
01,009,AL,Blount County,01009,0.24705882352941178,0,0.49972696914530673,21,85,0.47139588100686497,0.387777016721887,0.5550147452918429,1030,2185,0.12320367886568308,0.08929826095916321,0.15710909677220294,1286,10438,0.18478260869565216,0,0.5983571257066953,34,184,NA,NA,NA,0,0
01,011,AL,Bullock County,01011,NA,NA,NA,0,0,0.6507177033492823,0.4276183233546396,0.8738170833439249,136,209,0.06722689075630252,0,0.1936340497699235,16,238,0.47055098163394554,0.36007223208419475,0.5810297311836963,743,1579,NA,NA,NA,0,0
01,013,AL,Butler County,01013,NA,NA,NA,0,0,0.3177570093457944,0,0.8017126229591065,34,107,0.14487034949267194,0.05990765945553744,0.22983303952980644,257,1774,0.4722092480149463,0.38136963440354715,0.5630488616263454,1011,2141,NA,NA,NA,0,45
01,015,AL,Calhoun County,01015,NA,NA,NA,6,34,0.4124553343542624,0.28914624752761636,0.5357644211809084,808,1959,0.15014050582095545,0.11603210948262128,0.18424890215928963,2244,14946,0.3529692724088521,0.29201675516463316,0.4139217896530711,2217,6281,0.4,0,0.9486838284082695,54,135
