"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"00","000",162235,33040,4.9102602905569,4.89178970487468,4.92873087623912
"01","000",130459,25318,5.15281617821313,5.08948957119541,5.21614278523085
"01","001",142613,30910,4.61381429957942,3.93153854163559,5.29609005752326
"01","003",146685,33237,4.4133044498601,4.06855134134012,4.75805755838007
"01","005",103656,18027,5.75004160426028,4.8146942431926,6.68538896532795
"01","007",106753,20856,5.11857499041043,4.3770016623311,5.86014831848977
"01","009",119801,27129,4.41597552434664,3.93721863398851,4.89473241470477
"01","011",69217,11334,6.10702311628728,4.87629086178955,7.337755370785
"01","013",92252,18931,4.87306534255982,4.15494234660525,5.5911883385144
"01","015",108078,22490,4.80560248999555,4.39169487713322,5.21951010285789
"01","017",103574,19924,5.19845412567757,4.34048325200936,6.05642499934579
"01","019",104982,24905,4.21529813290504,3.45362036129122,4.97697590451886
"01","021",117819,26995,4.36447490275977,3.68662043854794,5.0423293669716
"01","023",106944,20471,5.224170778174,4.4856004225408,5.96274113380721
"01","025",108039,20065,5.38445053575878,4.46062650475817,6.30827456675939
"01","027",106147,23249,4.56565873801024,3.63815145905133,5.49316601696914
"01","029",115115,21895,5.25759305777575,3.56795585778392,6.94723025776757
"01","031",132215,25685,5.14755693984816,4.13035703704188,6.16475684265444
"01","033",114563,23608,4.85271941714673,4.16486588897278,5.54057294532068
"01","035",83328,17282,4.82166415924083,3.36310850567626,6.2802198128054
"01","037",107015,26666,4.01316282907073,3.15196512154075,4.8743605366007
"01","039",111312,19787,5.62551169960075,4.92322723681726,6.32779616238424
"01","041",100423,17870,5.61964185786234,4.44031758958446,6.79896612614022
"01","043",121163,26432,4.58395127118644,4.12548593005523,5.04241661231765
"01","045",107919,21476,5.02509778357236,4.34077960085113,5.70941596629359
"01","047",77221,14414,5.35736089912585,4.6951380694314,6.0195837288203
"01","049",101213,21210,4.77194719471947,4.45652503364314,5.0873693557958
"01","051",138663,34048,4.07257401315789,3.74307063333151,4.40207739298428
"01","053",94593,19522,4.8454564081549,3.97811390726097,5.71279890904883
"01","055",109547,21560,5.08102968460111,4.67940505259391,5.48265431660832
"01","057",104752,19707,5.31547165981631,4.35128932147641,6.27965399815621
"01","059",104129,22111,4.70937542399711,3.93512379449853,5.48362705349568
"01","061",99179,23863,4.15618321250471,3.58354397053693,4.7288224544725
"01","063",68281,11884,5.74562436889936,4.2637132479492,7.22753548984952
"01","065",94792,15680,6.04540816326531,5.18969507455559,6.90112125197502
"01","067",120979,19333,6.25764237314436,5.31487657310436,7.20040817318437
"01","069",120627,23630,5.10482437579348,4.80675920742062,5.40288954416634
"01","071",105666,22935,4.60719424460432,4.17163989161893,5.0427485975897
"01","073",142012,26737,5.31144107416688,5.08050878841336,5.54237335992041
"01","075",102769,19610,5.24064252932177,3.86095547747181,6.62032958117174
"01","077",122565,26032,4.70824370006146,4.14515875583507,5.27132864428786
"01","079",117419,27844,4.21703059905186,3.28868085605284,5.14538034205088
"01","081",134714,22308,6.03882015420477,5.28197537842289,6.79566492998665
"01","083",163286,36927,4.42185934411135,3.94096758106898,4.90275110715373
"01","085",88342,13775,6.41321234119782,4.94479517450775,7.88162950788789
"01","087",93589,16464,5.68446307094266,4.72618815729983,6.6427379845855
"01","089",167368,35797,4.67547559851384,4.43577833247886,4.91517286454883
"01","091",106806,14703,7.26423178943073,5.86942272483605,8.65904085402541
"01","093",101364,20206,5.0165297436405,4.25158605807477,5.78147342920623
"01","095",123802,24646,5.02320863426114,4.6131519532579,5.43326531526437
"01","097",123348,24373,5.06084601813482,4.79631298794377,5.32537904832587
"01","099",95255,17406,5.47253820521659,3.82059160609239,7.12448480434079
"01","101",120220,22560,5.32890070921986,4.88890792417073,5.76889349426899
"01","103",135987,28073,4.84404944252485,4.48978809677268,5.19831078827701
"01","105",64565,18813,3.43193536384415,2.56898404016457,4.29488668752373
"01","107",108522,20052,5.41202872531418,4.54125167910426,6.28280577152411
"01","109",111808,18470,6.05349214943151,5.06250090577285,7.04448339309017
"01","111",108013,18752,5.76007892491468,4.74036161521864,6.77979623461071
"01","113",97280,20721,4.69475411418368,4.0985178500749,5.29099037829245
"01","115",134426,35073,3.8327488381376,3.54482162536464,4.12067605091056
"01","117",180537,46345,3.89550113280829,3.66388486786077,4.1271173977558
"01","119",83494,15089,5.53343495261449,4.02578969857637,7.04108020665261
"01","121",109610,20666,5.30388077034743,4.76624421510901,5.84151732558585
"01","123",111910,22207,5.0394019903634,4.38538337324857,5.69342060747823
"01","125",132967,25698,5.17421589228734,4.86557070088645,5.48286108368822
"01","127",112763,21903,5.14829018855864,4.50964946576301,5.78693091135428
"01","129",139070,17106,8.129895942944,5.66807879505585,10.5917130908321
"01","131",93254,13024,7.16016584766585,5.51503130014073,8.80530039519097
"01","133",106169,24223,4.38298311522107,3.67896603642846,5.08700019401368
"02","000",174027,41904,4.15299255441008,4.026944897782,4.27904021103816
"02","013",123542,26955,4.58326841031349,3.29227514194288,5.87426167868409
"02","016",207700,74288,2.79587551152272,2.44261819540458,3.14913282764086
"02","020",192417,46641,4.125490448318,3.89766209492234,4.35331880171367
"02","050",155685,27736,5.61310210556677,4.74078190262411,6.48542230850944
"02","060",174000,40250,4.32298136645963,1.85509238517669,6.79087034774257
"02","063",163870,48585,3.37285170320058,2.44925929381052,4.29644411259063
"02","066",143219,30022,4.77046832322963,3.68804619532624,5.85289045113302
"02","068",172813,24479,7.05964295927121,3.66312902283877,10.4561568957037
"02","070",140794,31459,4.4754760164023,3.54295962026803,5.40799241253658
"02","090",165355,45956,3.59811558882409,3.28812621754028,3.9081049601079
"02","100",144417,31804,4.5408439190039,2.81580013179053,6.26588770621727
"02","105",122033,22333,5.46424573501097,3.23716038839602,7.69133108162592
"02","110",182630,50253,3.63421089288202,3.1869745640716,4.08144722169244
"02","122",154932,34509,4.48961140572025,3.91117658004575,5.06804623139474
"02","130",161000,38608,4.17012018234563,3.35198416880148,4.98825619588978
"02","150",156917,40889,3.83763359338697,2.99185645449496,4.68341073227899
"02","158",101567,19266,5.27182601474099,3.56820719232768,6.97544483715431
"02","164",119000,24385,4.88004921058027,2.43356999907714,7.32652842208341
"02","170",169845,39479,4.30216064236683,4.04027700402165,4.56404428071201
"02","180",160708,28842,5.57201303654393,4.83502320409957,6.30900286898829
"02","185",215133,41520,5.18143063583815,3.87643995451099,6.48642131716531
"02","188",156974,35921,4.36997856407116,3.65659237578988,5.08336475235244
"02","195",135400,38063,3.55726033155558,2.55447259893961,4.56004806417155
"02","198",125393,27388,4.57839199649482,4.05223955874626,5.10454443424337
"02","220",165859,44840,3.69890722569135,3.05216579401741,4.34564865736528
"02","230",167917,35076,4.78723343596761,3.77309975370505,5.80136711823017
"02","240",127042,27136,4.68167747641509,3.69982991020021,5.66352504262998
"02","275",134571,30091,4.47213452527334,2.88150605185894,6.06276299868774
"02","282",139500,51000,2.73529411764706,1.04088300499494,4.42970523029917
"02","290",106885,22541,4.74180382414267,3.59124492425786,5.89236272402748
"04","000",153607,34894,4.40210351349802,4.34942567099772,4.45478135599832
"04","001",96304,11697,8.23322219372489,7.33500015549634,9.13144423195343
"04","003",119264,24347,4.89850905655728,4.40772831697008,5.38928979614447
"04","005",148460,29441,5.04262762813763,4.68767846072669,5.39757679554857
"04","007",108476,26404,4.10831692167853,3.55318143723643,4.66345240612064
"04","009",128957,26863,4.80054349849235,4.07933459587418,5.52175240111051
"04","011",119386,30043,3.97383749958393,2.32987718497422,5.61779781419364
"04","012",93267,21975,4.24423208191126,3.33363997087418,5.15482419294834
"04","013",168595,40634,4.14911158143427,4.0938829467801,4.20434021608843
"04","015",110596,25055,4.41412891638396,4.19019699811933,4.63806083464858
"04","017",104879,20840,5.03258157389635,4.52678672954292,5.53837641824979
"04","019",140032,29388,4.76493806996053,4.62823112925263,4.90164501066843
"04","021",142576,37474,3.80466456743342,3.57876606975448,4.03056306511236
"04","023",111403,25965,4.29050645099172,3.7845215014393,4.79649140054414
"04","025",132305,30516,4.3355944422598,4.09365732846136,4.57753155605823
"04","027",115511,27677,4.17353759439246,3.86822732236957,4.47884786641534
"05","000",120698,25138,4.80141618267165,4.72583859103293,4.87699377431037
"05","001",110976,21966,5.05217153783119,3.8269619436685,6.27738113199389
"05","003",88973,17972,4.95064544847541,4.11644242382306,5.78484847312775
"05","005",99250,23621,4.20176961178612,3.84495122214751,4.55858800142474
"05","007",173574,44619,3.89013648893969,3.66303822229468,4.1172347555847
"05","009",105458,25441,4.14519869501985,3.59604255305993,4.69435483697977
"05","011",94367,14473,6.5202100462931,4.46535500106927,8.57506509151693
"05","013",114813,22396,5.12649580282193,2.32772541071021,7.92526619493366
"05","015",110050,21842,5.03845801666514,4.12401700242737,5.95289903090291
"05","017",80833,14029,5.76185045263383,4.86732818225599,6.65637272301167
"05","019",106481,20601,5.16872967331683,4.24480026470862,6.09265908192504
"05","021",100250,22899,4.37792043320669,3.52300022723398,5.2328406391794
"05","023",101270,23037,4.39597169770369,3.70522964822244,5.08671374718495
"05","025",111676,21070,5.30023730422401,4.31543203212687,6.28504257632116
"05","027",106259,18451,5.75898325294022,4.65785000992105,6.86011649595939
"05","029",103833,21012,4.94160479725871,4.10348437049561,5.77972522402181
"05","031",124820,23579,5.29369354086263,4.64235861498497,5.94502846674029
"05","033",111988,28211,3.96965722590479,3.60459828704242,4.33471616476716
"05","035",103058,20985,4.91103168930188,4.32170271033043,5.50036066827334
"05","037",111574,20530,5.43468095470044,4.55149486510499,6.31786704429588
"05","039",106886,18709,5.7130792666631,4.09175189566317,7.33440663766304
"05","041",78807,14340,5.49560669456067,4.25286334480291,6.73835004431843
"05","043",93531,16608,5.63168352601156,4.66631673972893,6.59705031229419
"05","045",128471,30641,4.19278091446102,3.90884197431859,4.47671985460345
"05","047",104525,20877,5.00670594434066,4.26866340966381,5.74474847901751
"05","049",87257,20445,4.26788945952556,3.1241323224303,5.41164659662081
"05","051",110431,23949,4.61109023341267,4.17508094141547,5.04709952540987
"05","053",129726,26754,4.8488450325185,3.65453097804007,6.04315908699693
"05","055",108552,24687,4.39713209381456,3.84755777202074,4.94670641560838
"05","057",94339,17657,5.34286685167356,4.36660796936143,6.31912573398569
"05","059",110633,25017,4.42231282727745,3.3188463004364,5.52577935411851
"05","061",91400,21302,4.2906769317435,3.14137801325766,5.43997585022934
"05","063",112018,21738,5.15309596098997,4.3285757859875,5.97761613599245
"05","065",84793,17994,4.71229298655107,3.77438914255425,5.65019683054789
"05","067",90363,18713,4.82888900764175,4.07149797154676,5.58628004373673
"05","069",96718,20057,4.82215685296904,4.35486109874389,5.28945260719419
"05","071",93207,20804,4.48024418381081,3.40682727631401,5.5536610913076
"05","073",84665,17604,4.80941831401954,3.68445677711623,5.93437985092286
"05","075",102150,18483,5.52670021100471,4.5045234186055,6.54887700340391
"05","077",82424,11657,7.0707729261388,5.10611736611801,9.03542848615959
"05","079",102078,21046,4.85023282333935,3.76025335858877,5.94021228808993
"05","081",111744,23314,4.79299991421463,3.43718838331937,6.1488114451099
"05","083",108712,27460,3.95892206846322,3.48744579234993,4.43039834457651
"05","085",132714,33636,3.94559400642169,3.5622973438069,4.32889066903648
"05","087",105837,26784,3.95150089605735,3.3784875692672,4.5245142228475
"05","089",89641,24759,3.62054202512218,3.01550346151385,4.2255805887305
