"","statecode","countycode","v124_rawvalue"
"1","02","000",NA
"2","02","013",1
"3","02","016",1
"4","02","020",1
"5","02","050",1
"6","02","060",1
"7","02","063",NA
"8","02","066",NA
"9","02","068",0
"10","02","070",1
"11","02","090",1
"12","02","100",1
"13","02","105",NA
"14","02","110",0
"15","02","122",1
"16","02","130",1
"17","02","150",1
"18","02","158",1
"19","02","164",1
"20","02","170",1
"21","02","180",1
"22","02","185",1
"23","02","188",1
"24","02","195",NA
"25","02","198",NA
"26","02","220",0
"27","02","230",1
"28","02","240",0
"29","02","275",1
"30","02","282",0
"31","02","290",1
"32","01","000",NA
"33","01","001",0
"34","01","003",0
"35","01","005",1
"36","01","007",0
"37","01","009",1
"38","01","011",0
"39","01","013",0
"40","01","015",1
"41","01","017",0
"42","01","019",0
"43","01","021",0
"44","01","023",1
"45","01","025",0
"46","01","027",0
"47","01","029",0
"48","01","031",0
"49","01","033",1
"50","01","035",1
"51","01","037",1
"52","01","039",0
"53","01","041",0
"54","01","043",0
"55","01","045",1
"56","01","047",0
"57","01","049",0
"58","01","051",0
"59","01","053",0
"60","01","055",0
"61","01","057",0
"62","01","059",0
"63","01","061",0
"64","01","063",0
"65","01","065",0
"66","01","067",0
"67","01","069",1
"68","01","071",1
"69","01","073",1
"70","01","075",0
"71","01","077",1
"72","01","079",0
"73","01","081",1
"74","01","083",0
"75","01","085",0
"76","01","087",0
"77","01","089",0
"78","01","091",1
"79","01","093",1
"80","01","095",0
"81","01","097",1
"82","01","099",0
"83","01","101",0
"84","01","103",0
"85","01","105",0
"86","01","107",0
"87","01","109",0
"88","01","111",0
"89","01","113",1
"90","01","117",0
"91","01","115",1
"92","01","119",0
"93","01","121",1
"94","01","123",0
"95","01","125",0
"96","01","127",1
"97","01","129",0
"98","01","131",1
"99","01","133",0
"100","05","001",1
"101","05","000",NA
"102","05","003",1
"103","05","005",1
"104","05","007",1
"105","05","009",1
"106","05","011",0
"107","05","013",0
"108","05","015",0
"109","05","017",1
"110","05","019",0
"111","05","021",0
"112","05","023",0
"113","05","025",0
"114","05","027",1
"115","05","029",0
"116","05","031",0
"117","05","033",0
"118","05","035",1
"119","05","037",1
"120","05","039",0
"121","05","041",1
"122","05","043",1
"123","05","045",1
"124","05","047",0
"125","05","049",1
"126","05","051",0
"127","05","053",0
"128","05","055",0
"129","05","057",1
"130","05","059",0
"131","05","061",0
"132","05","063",0
"133","05","065",0
"134","05","067",1
"135","05","069",0
"136","05","071",0
"137","05","073",0
"138","05","075",0
"139","05","077",1
"140","05","079",0
"141","05","081",0
"142","05","083",1
"143","05","085",1
"144","05","087",0
"145","05","089",0
"146","05","091",1
"147","05","093",0
"148","05","095",1
"149","05","097",0
"150","05","099",1
"151","05","101",1
"152","05","103",1
"153","05","105",0
"154","05","107",1
"155","05","109",1
"156","05","111",1
"157","05","113",0
"158","05","115",0
"159","05","117",0
"160","05","119",0
"161","05","121",0
"162","05","125",0
"163","05","127",0
"164","05","129",0
"165","05","131",1
"166","05","133",0
"167","05","135",0
"168","05","123",0
"169","05","137",0
"170","05","139",1
"171","05","141",0
"172","05","143",0
"173","05","145",0
"174","05","147",0
"175","05","149",1
"176","04","001",1
"177","04","000",NA
"178","04","003",1
"179","04","005",1
"180","04","007",1
"181","04","009",1
"182","04","011",1
"183","04","012",1
"184","04","013",1
"185","04","015",1
"186","04","017",1
"187","04","019",1
"188","04","021",1
"189","04","023",1
"190","04","025",1
"191","04","027",1
"192","06","001",1
"193","06","003",1
"194","06","005",1
"195","06","007",1
"196","06","009",1
"197","06","000",NA
"198","06","011",1
"199","06","013",1
"200","06","015",1
"201","06","017",0
"202","06","019",1
"203","06","021",1
"204","06","023",1
"205","06","025",1
"206","06","027",1
"207","06","029",1
"208","06","031",1
"209","06","033",1
"210","06","035",1
"211","06","037",1
"212","06","039",1
"213","06","041",1
"214","06","043",1
"215","06","045",1
"216","06","047",1
"217","06","049",1
"218","06","051",1
"219","06","053",1
"220","06","055",1
"221","06","057",1
"222","06","059",1
"223","06","061",1
"224","06","063",1
"225","06","065",1
"226","06","067",1
"227","06","069",1
"228","06","071",1
"229","06","073",1
"230","06","075",0
"231","06","077",1
"232","06","079",1
"233","06","081",1
"234","06","083",1
"235","06","085",1
"236","06","087",1
"237","06","089",1
"238","06","091",1
"239","06","093",1
"240","06","095",1
"241","06","097",1
"242","06","099",1
"243","06","101",1
"244","06","103",1
"245","06","105",1
"246","06","107",1
"247","06","109",1
"248","06","111",1
"249","06","113",1
"250","06","115",1
"251","08","001",1
"252","08","003",1
"253","08","005",1
"254","08","007",1
"255","08","009",1
"256","08","011",1
"257","08","013",1
"258","08","014",0
"259","08","015",1
"260","08","017",0
"261","08","019",1
"262","08","000",NA
"263","08","021",0
"264","08","023",1
"265","08","025",0
"266","08","027",0
"267","08","029",1
"268","08","031",0
"269","08","033",1
"270","08","035",1
"271","08","037",0
"272","08","039",0
"273","08","041",1
"274","08","043",0
"275","08","045",1
"276","08","047",0
"277","08","049",1
"278","08","051",1
"279","08","053",0
"280","08","055",1
"281","08","057",0
"282","08","059",1
"283","08","061",1
"284","08","063",1
"285","08","065",0
"286","08","067",1
"287","08","069",1
"288","08","071",1
"289","08","073",1
"290","08","075",0
"291","08","077",0
"292","08","079",0
"293","08","081",0
"294","08","083",1
"295","08","085",1
"296","08","087",1
"297","08","089",1
"298","08","091",0
"299","08","093",0
"300","08","095",1
"301","08","097",1
"302","08","099",1
"303","08","101",1
"304","08","103",0
"305","08","105",1
"306","08","107",1
"307","08","109",1
"308","08","111",0
"309","08","113",1
"310","08","115",1
"311","08","117",1
"312","08","119",1
"313","08","121",1
"314","08","123",1
"315","08","125",1
"316","09","110",1
"317","09","000",NA
"318","09","001",NA
"319","09","120",0
"320","09","003",NA
"321","09","005",NA
"322","09","130",1
"323","09","007",NA
"324","09","140",1
"325","09","009",NA
"326","09","011",NA
"327","09","150",1
"328","09","160",1
"329","09","170",1
"330","09","180",1
"331","09","013",NA
"332","09","190",1
"333","09","015",NA
"334","11","001",0
"335","11","000",NA
"336","10","000",NA
"337","10","001",1
"338","10","003",0
"339","10","005",1
"340","12","001",0
"341","12","003",0
"342","12","005",1
"343","12","007",0
"344","12","009",1
"345","12","011",1
"346","12","013",0
"347","12","015",1
"348","12","017",0
