statecode,countycode,v154_numerator,v154_denominator,v154_rawvalue,v154_cilow,v154_cihigh,v154_sourceflag,v154_flag_CT
00,000,18977106,125379530,0.1513572909389595,0.1506288398113274,0.1520857420665916,,
01,000,240306,1904561,0.12617395819824095,0.12376346644783115,0.12858444994865076,,
01,001,2139,21868,0.0978141576733126,0.07749357294380169,0.11813474240282351,,
01,003,11227,95669,0.117352538439829,0.10290889475251641,0.1317961821271416,,
01,005,919,8423,0.10910601923305235,0.081246999915248,0.1369650385508567,,
01,007,1011,7382,0.13695475480899486,0.10049219231250556,0.17341731730548415,,
01,009,2142,21201,0.10103297014291779,0.07872053951296751,0.12334540077286807,,
01,011,731,3445,0.21219158200290275,0.13828007641483048,0.286103087590975,,
01,013,854,6988,0.12220950200343446,0.08744796711182214,0.15697103689504677,,
01,015,5049,42885,0.11773347324239244,0.10130375263302416,0.13416319385176073,,
01,017,1450,12737,0.11384156394755438,0.08266817286860427,0.14501495502650447,,
01,019,774,9501,0.08146510893590149,0.05889192391311093,0.10403829395869205,,
01,021,1752,17073,0.10261816903883325,0.08011620404271474,0.12512013403495176,,
01,023,489,4885,0.10010235414534288,0.0657093786115692,0.13449532967911657,,
01,025,707,7284,0.0970620538165843,0.06884221148379223,0.12528189614937635,,
01,027,437,5593,0.07813338101197927,0.04598987934003201,0.11027688268392652,,
01,029,486,5584,0.08703438395415473,0.056326311000754234,0.11774245690755523,,
01,031,2419,19846,0.12188854177164164,0.1000284905315968,0.1437485930116865,,
01,033,2719,23086,0.11777700771030061,0.09465273866978911,0.1409012767508121,,
01,035,524,3896,0.13449691991786447,0.08414701972856789,0.18484682010716105,,
01,037,163,4076,0.03999018645731109,0.01297665051258532,0.06700372240203686,,
01,039,1215,13617,0.08922670191672175,0.06784546489875018,0.11060793893469331,,
01,041,587,4866,0.12063296341964652,0.08736942735571468,0.15389649948357836,,
01,043,3381,33704,0.10031450272964633,0.08379367306789437,0.11683533239139829,,
01,045,2237,18715,0.11952978893935345,0.09962502558560987,0.13943455229309704,,
01,047,2747,15022,0.1828651311409932,0.1457630768336571,0.2199671854483293,,
01,049,2231,24526,0.09096469053249613,0.07426126415540979,0.10766811690958247,,
01,051,3089,31755,0.09727601952448434,0.07999056168934648,0.11456147735962219,,
01,053,1280,11799,0.10848376981100093,0.07893269916528681,0.13803484045671505,,
01,055,4809,37566,0.12801469413831656,0.11099537309496901,0.14503401518166412,,
01,057,546,5929,0.09208972845336481,0.060712416516087574,0.12346704039064205,,
01,059,1005,11226,0.08952431854623197,0.059748994083767326,0.11929964300869661,,
01,061,934,10145,0.09206505667816658,0.06474962846087781,0.11938048489545536,,
01,063,419,2760,0.15181159420289855,0.08938646032669811,0.214236728079099,,
01,065,898,5129,0.17508286215636576,0.12500383022731104,0.22516189408542048,,
