statecode,countycode,state,county,fipscode,v167_rawvalue
01,001,AL,Autauga County,01001,0.058234299665062945
01,003,AL,Baldwin County,01003,0.08572243984824149
01,005,AL,Barbour County,01005,0.035611240381035004
01,007,AL,Bibb County,01007,0.08963219030568832
01,009,AL,Blount County,01009,0.09399426850360962
01,011,AL,Bullock County,01011,0.013587906397443039
01,013,AL,Butler County,01013,0.13496283316767382
01,015,AL,Calhoun County,01015,0.18930515141772544
01,017,AL,Chambers County,01017,0.12430067393501837
01,019,AL,Cherokee County,01019,0.052029621994208027
01,021,AL,Chilton County,01021,0.07825304365857678
01,023,AL,Choctaw County,01023,0.14711114608788484
01,025,AL,Clarke County,01025,0.03223111764982169
01,027,AL,Clay County,01027,0.011211434645084698
01,029,AL,Cleburne County,01029,0.0984746159159975
01,031,AL,Coffee County,01031,0.07185821845921506
01,033,AL,Colbert County,01033,0.06229193753074229
01,035,AL,Conecuh County,01035,0.15789181143235625
01,037,AL,Coosa County,01037,0.008523324875998993
01,039,AL,Covington County,01039,0.07857161643456158
01,041,AL,Crenshaw County,01041,0.03143930326051647
01,043,AL,Cullman County,01043,0.04721974728200528
01,045,AL,Dale County,01045,0.08963559341643718
01,047,AL,Dallas County,01047,0.216001964803169
01,049,AL,DeKalb County,01049,0.16047457565815829
01,051,AL,Elmore County,01051,0.08770113569988408
01,053,AL,Escambia County,01053,0.1729135841632686
01,055,AL,Etowah County,01055,0.2172954914685854
01,057,AL,Fayette County,01057,0.09538611117424889
01,059,AL,Franklin County,01059,0.17269554454558245
01,061,AL,Geneva County,01061,0.02735383463771977
01,063,AL,Greene County,01063,NA
01,065,AL,Hale County,01065,0.23171121549610108
01,067,AL,Henry County,01067,0.0563027268558587
01,069,AL,Houston County,01069,0.17336076841309236
01,071,AL,Jackson County,01071,0.10434121154159647
01,073,AL,Jefferson County,01073,0.34141466176257734
01,075,AL,Lamar County,01075,0.01645974014438366
01,077,AL,Lauderdale County,01077,0.18433486091309736
01,079,AL,Lawrence County,01079,0.08060441458275262
01,081,AL,Lee County,01081,0.09513119610281218
01,083,AL,Limestone County,01083,0.07595733124149866
01,085,AL,Lowndes County,01085,0.07733762281154703
01,087,AL,Macon County,01087,0.054797143946233744
01,089,AL,Madison County,01089,0.12738693302869686
01,091,AL,Marengo County,01091,0.15508501554655132
01,093,AL,Marion County,01093,0.05133222347482707
01,095,AL,Marshall County,01095,0.1726689746941223
01,097,AL,Mobile County,01097,0.24507475820439503
01,099,AL,Monroe County,01099,0.3411249786667622
01,101,AL,Montgomery County,01101,0.22506816750513742
01,103,AL,Morgan County,01103,0.20246929521350848
01,105,AL,Perry County,01105,0.271601824230087
01,107,AL,Pickens County,01107,0.2872995900160482
01,109,AL,Pike County,01109,0.048238079331960636
01,111,AL,Randolph County,01111,0.09557703970315926
01,113,AL,Russell County,01113,0.054264804893313714
01,115,AL,St. Clair County,01115,0.03813894650567011
01,117,AL,Shelby County,01117,0.06703304490234883
01,119,AL,Sumter County,01119,0.32118759250900714
01,121,AL,Talladega County,01121,0.11226209326178817
01,123,AL,Tallapoosa County,01123,0.09041229241262613
01,125,AL,Tuscaloosa County,01125,0.24908177512025342
01,127,AL,Walker County,01127,0.10074290369261951
01,129,AL,Washington County,01129,0.13024992304389402
01,131,AL,Wilcox County,01131,NA
01,133,AL,Winston County,01133,0.12072524255623429
02,013,AK,Aleutians East Borough,02013,NA
02,016,AK,Aleutians West Census Area,02016,0.20428885223604398
02,020,AK,Anchorage Borough,02020,0.09542997716588193
02,050,AK,Bethel Census Area,02050,0.22661147284518696
02,060,AK,Bristol Bay Borough,02060,NA
02,063,AK,Chugach Census Area,02063,0.1315424640590225
02,066,AK,Copper River Census Area,02066,0.18066989046630602
02,068,AK,Denali Borough,02068,0.037353031732188555
02,070,AK,Dillingham Census Area,02070,0.14407021248393792
02,090,AK,Fairbanks North Star Borough,02090,0.05433822707932132
02,100,AK,Haines Borough,02100,0.027604081908179125
02,105,AK,Hoonah-Angoon Census Area,02105,0.43005369352697514
02,110,AK,Juneau Borough,02110,0.030635637983210874
02,122,AK,Kenai Peninsula Borough,02122,0.06438844401016891
02,130,AK,Ketchikan Gateway Borough,02130,0.03178021298914112
02,150,AK,Kodiak Island Borough,02150,0.10040721512345344
02,158,AK,Kusilvak Census Area,02158,0.12090367510227537
02,164,AK,Lake and Peninsula Borough,02164,0.39540840440924646
02,170,AK,Matanuska-Susitna Borough,02170,0.028993790913418672
02,180,AK,Nome Census Area,02180,0.3157537239238489
02,185,AK,North Slope Borough,02185,0.11178044834722357
02,188,AK,Northwest Arctic Borough,02188,0.10491956766448048
02,195,AK,Petersburg Census Area,02195,0.019286437542944356
02,198,AK,Prince of Wales-Hyder Census Area,02198,0.3704167426951311
02,220,AK,Sitka Borough,02220,0.16800212306415854
02,230,AK,Skagway Municipality,02230,NA
02,240,AK,Southeast Fairbanks Census Area,02240,0.32262734519121167
02,275,AK,Wrangell City,02275,0.026418623048738786
02,282,AK,Yakutat Borough,02282,0.1832268685783294
02,290,AK,Yukon-Koyukuk Census Area,02290,0.28314569367892933
04,001,AZ,Apache County,04001,0.5877834195236668
04,003,AZ,Cochise County,04003,0.234557481732396
04,005,AZ,Coconino County,04005,0.21976739307749282
04,007,AZ,Gila County,04007,0.36325565475987903
04,009,AZ,Graham County,04009,0.2588936692616209
04,011,AZ,Greenlee County,04011,0.09331844767735012
04,012,AZ,La Paz County,04012,0.08859468869643343
04,013,AZ,Maricopa County,04013,0.18663705424505572
04,015,AZ,Mohave County,04015,0.09238755375494526
04,017,AZ,Navajo County,04017,0.3813259185580512
04,019,AZ,Pima County,04019,0.16595645029202344
04,021,AZ,Pinal County,04021,0.08234558215192886
04,023,AZ,Santa Cruz County,04023,0.3530558863950151
04,025,AZ,Yavapai County,04025,0.05917412628821159
04,027,AZ,Yuma County,04027,0.14980575828302517
05,001,AR,Arkansas County,05001,0.07576220846203009
05,003,AR,Ashley County,05003,0.05300029499330841
05,005,AR,Baxter County,05005,0.024538707844016953
05,007,AR,Benton County,05007,0.12433969164570866
05,009,AR,Boone County,05009,0.057881671097881046
05,011,AR,Bradley County,05011,0.0304922022605409
05,013,AR,Calhoun County,05013,0.006463828466103804
05,015,AR,Carroll County,05015,0.06933018994926167
05,017,AR,Chicot County,05017,0.08418917697680135
05,019,AR,Clark County,05019,0.033775055788299355
05,021,AR,Clay County,05021,0.05204506641204467
05,023,AR,Cleburne County,05023,0.05100284514495605
05,025,AR,Cleveland County,05025,0.0905806756474847
05,027,AR,Columbia County,05027,0.13162028391207123
05,029,AR,Conway County,05029,0.07612579334625433
05,031,AR,Craighead County,05031,0.21030734512383525
05,033,AR,Crawford County,05033,0.06287961098143095
05,035,AR,Crittenden County,05035,0.15622640615222394
05,037,AR,Cross County,05037,0.04615380600249874
05,039,AR,Dallas County,05039,0.013349212470736931
05,041,AR,Desha County,05041,0.0653359690088348
05,043,AR,Drew County,05043,0.022369674557791337
05,045,AR,Faulkner County,05045,0.13401973525682037
05,047,AR,Franklin County,05047,0.023204194552316676
05,049,AR,Fulton County,05049,0.051131649517050445
05,051,AR,Garland County,05051,0.11277122210879682
05,053,AR,Grant County,05053,0.023366865709806225
05,055,AR,Greene County,05055,0.05868807973085559
05,057,AR,Hempstead County,05057,0.19384077071067543
05,059,AR,Hot Spring County,05059,0.1854729742851793
05,061,AR,Howard County,05061,0.13405808145807352
05,063,AR,Independence County,05063,0.11914780237211918
05,065,AR,Izard County,05065,0.05413384001337247
05,067,AR,Jackson County,05067,0.08996339787223527
05,069,AR,Jefferson County,05069,0.30766992462116793
05,071,AR,Johnson County,05071,0.12654878455851687
05,073,AR,Lafayette County,05073,0.10948666902182867
05,075,AR,Lawrence County,05075,0.04736815507166241
05,077,AR,Lee County,05077,0.022322636703835642
05,079,AR,Lincoln County,05079,0.0021583004483794166
05,081,AR,Little River County,05081,0.025757697983629018
05,083,AR,Logan County,05083,0.057670298520010335
05,085,AR,Lonoke County,05085,0.06400692661635467
05,087,AR,Madison County,05087,0.03206046448221491
05,089,AR,Marion County,05089,0.048792412799761695
05,091,AR,Miller County,05091,0.26641960865637343
05,093,AR,Mississippi County,05093,0.32394423857271604
05,095,AR,Monroe County,05095,0.03815808065622656
05,097,AR,Montgomery County,05097,0.061597943686817945
05,099,AR,Nevada County,05099,0.044146499753544975
05,101,AR,Newton County,05101,0.1093517081109657
05,103,AR,Ouachita County,05103,0.1229281826770854
05,105,AR,Perry County,05105,0.04053125661412325
05,107,AR,Phillips County,05107,0.2846702851799065
05,109,AR,Pike County,05109,0.058243727965240015
05,111,AR,Poinsett County,05111,0.08200092599443698
05,113,AR,Polk County,05113,0.0655474318203643
05,115,AR,Pope County,05115,0.12501308127806615
05,117,AR,Prairie County,05117,0.03573137011332657
05,119,AR,Pulaski County,05119,0.1470617185419695
05,121,AR,Randolph County,05121,0.05472068591564223
05,123,AR,St. Francis County,05123,0.4870325114021442
05,125,AR,Saline County,05125,0.07573023151564275
05,127,AR,Scott County,05127,0.04303878526235022
05,129,AR,Searcy County,05129,0.018290208229019788
05,131,AR,Sebastian County,05131,0.14382231430872014
05,133,AR,Sevier County,05133,0.07688572373508329
05,135,AR,Sharp County,05135,0.026722343221244543
05,137,AR,Stone County,05137,0.05689191003725253
05,139,AR,Union County,05139,0.10692310605123519
05,141,AR,Van Buren County,05141,0.056630053353701755
05,143,AR,Washington County,05143,0.1738425353071668
05,145,AR,White County,05145,0.07235182476396351
05,147,AR,Woodruff County,05147,0.190097604417769
05,149,AR,Yell County,05149,0.05579045265820413
06,001,CA,Alameda County,06001,0.21964263195776235
06,003,CA,Alpine County,06003,NA
06,005,CA,Amador County,06005,0.015272166391447848
06,007,CA,Butte County,06007,0.08079346437884437
06,009,CA,Calaveras County,06009,0.021080335548220617
06,011,CA,Colusa County,06011,0.11488539911298225
06,013,CA,Contra Costa County,06013,0.1925283449448559
06,015,CA,Del Norte County,06015,0.035235079719656996
06,017,CA,El Dorado County,06017,0.08239561183012947
06,019,CA,Fresno County,06019,0.15710880699366225
06,021,CA,Glenn County,06021,0.14992257070602313
06,023,CA,Humboldt County,06023,0.13733524555357904
06,025,CA,Imperial County,06025,0.1844963930366898
06,027,CA,Inyo County,06027,0.02782864623759564
06,029,CA,Kern County,06029,0.19571825974965104
06,031,CA,Kings County,06031,0.11403868142118662
