statecode,countycode,v175_rawvalue,v175_cbsa_name
00,000,NA,NA
01,000,NA,NA
01,001,2,Metropolitan Statistical Area
01,003,2,Metropolitan Statistical Area
01,005,1,Micropolitan Statistical Area
01,007,2,Metropolitan Statistical Area
01,009,2,Metropolitan Statistical Area
01,011,0,Rural
01,013,0,Rural
01,015,2,Metropolitan Statistical Area
01,017,1,Micropolitan Statistical Area
01,019,0,Rural
01,021,2,Metropolitan Statistical Area
01,023,0,Rural
01,025,0,Rural
01,027,0,Rural
01,029,0,Rural
01,031,1,Micropolitan Statistical Area
01,033,2,Metropolitan Statistical Area
01,035,0,Rural
01,037,1,Micropolitan Statistical Area
01,039,0,Rural
01,041,0,Rural
01,043,1,Micropolitan Statistical Area
01,045,1,Micropolitan Statistical Area
01,047,1,Micropolitan Statistical Area
01,049,1,Micropolitan Statistical Area
01,051,2,Metropolitan Statistical Area
01,053,0,Rural
01,055,2,Metropolitan Statistical Area
01,057,0,Rural
01,059,1,Micropolitan Statistical Area
01,061,2,Metropolitan Statistical Area
01,063,2,Metropolitan Statistical Area
01,065,2,Metropolitan Statistical Area
01,067,2,Metropolitan Statistical Area
01,069,2,Metropolitan Statistical Area
01,071,1,Micropolitan Statistical Area
01,073,2,Metropolitan Statistical Area
01,075,0,Rural
01,077,2,Metropolitan Statistical Area
01,079,2,Metropolitan Statistical Area
01,081,2,Metropolitan Statistical Area
01,083,2,Metropolitan Statistical Area
01,085,2,Metropolitan Statistical Area
01,087,2,Metropolitan Statistical Area
01,089,2,Metropolitan Statistical Area
01,091,0,Rural
01,093,0,Rural
01,095,1,Micropolitan Statistical Area
01,097,2,Metropolitan Statistical Area
01,099,0,Rural
01,101,2,Metropolitan Statistical Area
01,103,2,Metropolitan Statistical Area
01,105,0,Rural
01,107,2,Metropolitan Statistical Area
01,109,1,Micropolitan Statistical Area
01,111,0,Rural
01,113,2,Metropolitan Statistical Area
01,115,2,Metropolitan Statistical Area
01,117,2,Metropolitan Statistical Area
01,119,0,Rural
01,121,1,Micropolitan Statistical Area
01,123,1,Micropolitan Statistical Area
01,125,2,Metropolitan Statistical Area
01,127,2,Metropolitan Statistical Area
01,129,0,Rural
01,131,0,Rural
01,133,0,Rural
02,000,NA,NA
02,013,0,Rural
02,016,0,Rural
02,020,2,Metropolitan Statistical Area
02,050,0,Rural
02,060,0,Rural
02,063,0,Rural
02,066,0,Rural
02,068,0,Rural
02,070,0,Rural
02,090,2,Metropolitan Statistical Area
02,100,0,Rural
02,105,0,Rural
02,110,1,Micropolitan Statistical Area
02,122,0,Rural
