statecode,countycode,v176_rawvalue,v176_capitol_name
00,000,NA,NA
01,000,NA,NA
01,001,NA,NA
01,003,NA,NA
01,005,NA,NA
01,007,NA,NA
01,009,NA,NA
01,011,NA,NA
01,013,NA,NA
01,015,NA,NA
01,017,NA,NA
01,019,NA,NA
01,021,NA,NA
01,023,NA,NA
01,025,NA,NA
01,027,NA,NA
01,029,NA,NA
01,031,NA,NA
01,033,NA,NA
01,035,NA,NA
01,037,NA,NA
01,039,NA,NA
01,041,NA,NA
01,043,NA,NA
01,045,NA,NA
01,047,NA,NA
01,049,NA,NA
01,051,NA,NA
01,053,NA,NA
01,055,NA,NA
01,057,NA,NA
01,059,NA,NA
01,061,NA,NA
01,063,NA,NA
01,065,NA,NA
01,067,NA,NA
01,069,NA,NA
01,071,NA,NA
01,073,NA,NA
01,075,NA,NA
01,077,NA,NA
01,079,NA,NA
01,081,NA,NA
01,083,NA,NA
01,085,NA,NA
01,087,NA,NA
01,089,NA,NA
01,091,NA,NA
01,093,NA,NA
01,095,NA,NA
01,097,NA,NA
01,099,NA,NA
01,101,1,Montgomery
01,103,NA,NA
01,105,NA,NA
01,107,NA,NA
01,109,NA,NA
01,111,NA,NA
01,113,NA,NA
01,115,NA,NA
01,117,NA,NA
01,119,NA,NA
01,121,NA,NA
01,123,NA,NA
01,125,NA,NA
01,127,NA,NA
01,129,NA,NA
01,131,NA,NA
01,133,NA,NA
02,000,NA,NA
02,013,NA,NA
02,016,NA,NA
02,020,NA,NA
02,050,NA,NA
02,060,NA,NA
02,063,NA,NA
02,066,NA,NA
02,068,NA,NA
02,070,NA,NA
02,090,NA,NA
02,100,NA,NA
02,105,NA,NA
02,110,1,Juneau
02,122,NA,NA
02,130,NA,NA
02,150,NA,NA
02,158,NA,NA
02,164,NA,NA
02,170,NA,NA
02,180,NA,NA
02,185,NA,NA
02,188,NA,NA
02,195,NA,NA
02,198,NA,NA
02,220,NA,NA
02,230,NA,NA
02,240,NA,NA
02,275,NA,NA
02,282,NA,NA
02,290,NA,NA
04,000,NA,NA
04,001,NA,NA
04,003,NA,NA
04,005,NA,NA
04,007,NA,NA
04,009,NA,NA
04,011,NA,NA
04,012,NA,NA
04,013,1,Phoenix
04,015,NA,NA
04,017,NA,NA
04,019,NA,NA
04,021,NA,NA
04,023,NA,NA
04,025,NA,NA
04,027,NA,NA
05,000,NA,NA
05,001,NA,NA
05,003,NA,NA
05,005,NA,NA
05,007,NA,NA
05,009,NA,NA
05,011,NA,NA
05,013,NA,NA
05,015,NA,NA
05,017,NA,NA
05,019,NA,NA
