"statecode","countycode","v178_rawvalue"
"00","000",0.652
"01","000",NA
"01","001",0.688
"01","003",0.564
"01","005",0.545
"01","007",0.56
"01","009",0.667
"01","011",0.488
"01","013",0.558
"01","015",0.636
"01","017",0.583
"01","019",0.457
"01","021",0.606
"01","023",0.512
"01","025",0.52
"01","027",0.553
"01","029",0.567
"01","031",0.587
"01","033",0.662
"01","035",0.474
"01","037",0.376
"01","039",0.572
"01","041",0.541
"01","043",0.645
"01","045",0.58
"01","047",0.518
"01","049",0.525
"01","051",0.652
"01","053",0.58
"01","055",0.658
"01","057",0.584
"01","059",0.593
"01","061",0.567
"01","063",0.42
"01","065",0.508
"01","067",0.507
"01","069",0.623
"01","071",0.607
"01","073",0.641
"01","075",0.557
"01","077",0.671
"01","079",0.635
"01","081",0.619
"01","083",0.592
"01","085",0.504
"01","087",0.501
"01","089",0.741
"01","091",0.475
"01","093",0.571
"01","095",0.656
"01","097",0.605
"01","099",0.483
"01","101",0.604
"01","103",0.701
"01","105",0.39
"01","107",0.548
"01","109",0.455
"01","111",0.519
"01","113",0.586
"01","115",0.682
"01","117",0.756
"01","119",0.438
"01","121",0.525
"01","123",0.566
"01","125",0.521
"01","127",0.57
"01","129",0.47
"01","131",0.371
"01","133",0.512
"02","000",NA
"02","013",0.11
"02","016",0.171
"02","020",0.659
"02","050",0.156
"02","060",0.012
"02","063",0.408
"02","066",0.006
"02","068",0.185
"02","070",0.165
"02","090",0.512
"02","100",0.36
"02","105",0.29
"02","110",0.676
"02","122",0.415
"02","130",0.551
"02","150",0.431
"02","158",0.019
"02","164",NA
"02","170",0.383
"02","180",0.152
"02","185",0.278
"02","188",0.15
"02","195",0.436
"02","198",0.285
"02","220",0.552
"02","230",0.365
"02","240",0.175
"02","275",0.323
"02","282",0.209
"02","290",0.019
"04","000",NA
"04","001",0.252
"04","003",0.604
"04","005",0.455
"04","007",0.43
"04","009",0.547
"04","011",0.385
"04","012",0.254
"04","013",0.663
"04","015",0.588
"04","017",0.336
"04","019",0.664
"04","021",0.566
